support_family,resolution,layout,jitter_fraction,dtype,candidate,operator_variant,operator,norm,sample_count,mean,sample_standard_deviation,median,bootstrap_mean_CI95_low,bootstrap_mean_CI95_high,minimum,maximum
increasing_neighbor,32,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,L1,10,0.5004547309992844,0.0012349371972559487,0.5001791004676666,0.49973963898973306,0.5011920865986933,0.498150051194036,0.5020592822451702
increasing_neighbor,32,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,L2,10,0.6182391159080285,0.0006920172852500256,0.6181496207435779,0.6178437811757498,0.6186453937155287,0.6170840666739744,0.6194229217368247
increasing_neighbor,32,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,Linf,10,1.3580196084664902,0.038008264680703216,1.3718240423620998,1.334960455707909,1.379819742780145,1.2950977106558348,1.4095089654823862
increasing_neighbor,32,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,L1,10,0.29592272917752227,0.0002834319653835514,0.29595937392980703,0.2957518139671862,0.2960801530379197,0.29537948851429696,0.2962363190659433
increasing_neighbor,32,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,L2,10,0.34601511741776114,0.0004505367213215983,0.34600825153662107,0.3457636769343839,0.34628832012585287,0.34536938446842924,0.34697877805588456
increasing_neighbor,32,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,Linf,10,0.7327660366274659,0.00971440232108458,0.7362306947458048,0.7271635700012475,0.7381476365236025,0.7163836276184226,0.7454071915145253
increasing_neighbor,32,jitter_05,0.05,float64,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,L1,10,0.027757984942923586,0.0006607716458442994,0.027616469665581702,0.027406661168382362,0.0281739006294373,0.026855836256943835,0.028958656691002484
increasing_neighbor,32,jitter_05,0.05,float64,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,L2,10,0.031311258279182755,0.0006148856254280422,0.03115505778633304,0.03097730382945696,0.031702843202325484,0.030577317306516978,0.03255364484215738
increasing_neighbor,32,jitter_05,0.05,float64,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,Linf,10,0.07170093075174934,0.005687367552874253,0.07045832730843202,0.06842305087504988,0.07520923354096076,0.06261863247804134,0.08285987124450217
increasing_neighbor,32,jitter_10,0.1,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L1,10,0.034338736188040134,0.00113311863922471,0.034046121405445676,0.03367171788722728,0.035019855434868054,0.03290245599374055,0.036538230262510636
increasing_neighbor,32,jitter_10,0.1,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L2,10,0.040135260725189484,0.0012810959050442502,0.03978522108357531,0.03943369566314622,0.04092853997021397,0.03840346526653181,0.04272150132782747
increasing_neighbor,32,jitter_10,0.1,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,Linf,10,0.12549913806294014,0.010467481970423092,0.12312627297730992,0.11994249617777158,0.13204394479995446,0.11513693792806362,0.1467383410080328
increasing_neighbor,32,jitter_10,0.1,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L1,10,1.8204720627341164,0.0714318144009348,1.8118962874020466,1.773971875688469,1.8609224160972124,1.6678330279980602,1.8962026805549024
increasing_neighbor,32,jitter_10,0.1,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L2,10,2.200969077720231,0.08718894746685499,2.195281540441199,2.1485314362351144,2.250664341036041,2.021435579076538,2.313610211299713
increasing_neighbor,32,jitter_10,0.1,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,Linf,10,6.63912195272791,0.756653146304834,6.46080615308265,6.209583623505933,7.067440402528852,5.465669764384856,7.826790987183806
increasing_neighbor,32,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L1,10,0.49648767146939277,0.002011381301828849,0.49587882314072285,0.4953926182088666,0.4976652459808255,0.49386809249131347,0.49949066656915075
increasing_neighbor,32,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L2,10,0.6139593426486487,0.0018122705620392152,0.6138266082780989,0.6129895949794723,0.6150116690864106,0.6116887702548293,0.6166735500909495
increasing_neighbor,32,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,Linf,10,1.221943205976361,0.0030053505636968604,1.2215896647851876,1.2201751188834997,1.223829771910428,1.2171364850304247,1.2268835288784317
increasing_neighbor,32,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L1,10,0.2946137940128401,0.0009236129525158514,0.2945554013087191,0.2940757591864847,0.29518106914975645,0.29316141595443035,0.29638681436919423
increasing_neighbor,32,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L2,10,0.3434862634891821,0.0009709409108707316,0.34334622382776125,0.3429198129148004,0.3440916216628718,0.3418619735378404,0.3450013575763133
increasing_neighbor,32,jitter_10,0.1,float64,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,Linf,10,0.6326939297375949,0.006075544687535821,0.6328169021189716,0.6291077360206676,0.6361150489421377,0.6249236604548285,0.6419713190851786
increasing_neighbor,32,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,L2,10,3.3889174437328995e-16,8.60276739316643e-18,3.3858637335446653e-16,3.3397160373449133e-16,3.4410397578585513e-16,3.257587142897895e-16,3.576392350282856e-16
increasing_neighbor,32,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,Linf,10,1.1324274851176596e-15,8.757557320955462e-17,1.1102230246251565e-15,1.0880185641326535e-15,1.1879386363489174e-15,9.992007221626409e-16,1.3322676295501878e-15
increasing_neighbor,32,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,mean_abs,10,2.6279976458876143e-16,6.9148435460583264e-18,2.634069178053533e-16,2.5865784123932365e-16,2.666595243228098e-16,2.504507018441515e-16,2.7202632507661306e-16
increasing_neighbor,32,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S1,L2,10,5.351003912873895e-18,7.472217072280487e-20,5.353062418665825e-18,5.308099700206639e-18,5.393334951187977e-18,5.250322303300335e-18,5.483963176412065e-18
increasing_neighbor,32,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S1,Linf,10,2.6300003249539002e-17,3.2367398045417464e-18,2.619595265269887e-17,2.4490622627652856e-17,2.832869175985015e-17,2.224562629373969e-17,3.323079011534547e-17
increasing_neighbor,32,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,L1,10,0.06604422975636727,4.0870853290820475e-05,0.06605526120156029,0.0660200629387303,0.06606588896518698,0.06596283761914946,0.06609315611833369
increasing_neighbor,32,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,L2,10,0.07700919117668789,2.074582372315522e-05,0.07701171307935006,0.07699670158998902,0.07702050947421972,0.07697555787382207,0.07703273354442532
increasing_neighbor,32,jitter_10,0.1,float64,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,Linf,10,0.14740513035033626,0.0010568501917942244,0.14731226362527083,0.14674391439175832,0.14807961856246274,0.14556948335880304,0.14946346076008554
increasing_neighbor,32,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,L1,10,0.46326790980337396,0.0002556546267755782,0.4632817918506348,0.4631196900896968,0.4634152945794099,0.46283374550267303,0.463695825096161
increasing_neighbor,32,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,L2,10,0.5735819813729078,0.000193245706161508,0.5735365610505185,0.5734707626921318,0.5737018220982195,0.5733438321846637,0.5739208937408102
increasing_neighbor,32,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,Linf,10,1.1444551864524903,0.005470375579156981,1.143414785197276,1.141387345052486,1.1479146905088076,1.1375213669466042,1.156475945970346
increasing_neighbor,32,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,L1,10,0.2754849249525205,0.00017194316621312966,0.27549120854590514,0.27537636729388704,0.275578700532589,0.27513897164662526,0.27566944206744953
increasing_neighbor,32,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,L2,10,0.3206746487081807,4.50287772209449e-05,0.32067986904331425,0.3206479813384465,0.32069991041406887,0.320580215709863,0.32074080026719426
increasing_neighbor,32,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,Linf,10,0.582653999024781,0.0033378853648232325,0.5820262820176629,0.5807409089976355,0.5847043016418565,0.5778043593345785,0.5886651990321363
increasing_neighbor,32,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L1,10,1.709369200346675,0.0036036209583694793,1.7102952965263636,1.7073249929999141,1.7113360618138664,1.7025028671656224,1.7138277811339977
increasing_neighbor,32,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L2,10,1.9956784499565299,0.0005885147083415342,1.9956512845129024,1.9953254717582,1.9960321361705886,1.9946853983676327,1.9966249617991167
increasing_neighbor,32,jitter_10,0.1,float64,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,Linf,10,3.7775668794405943,0.013220911481785872,3.7825802546673195,3.769879110163049,3.785270439190238,3.7592093780705795,3.7947417011560134
increasing_neighbor,32,jitter_10,0.1,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L1,10,1.852498480453835,0.06413423709373658,1.85121839891667,1.8123616564170022,1.8868786181862214,1.7060308813043377,1.9179414419867182
increasing_neighbor,32,jitter_10,0.1,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L2,10,2.2427540896392597,0.07975591773065176,2.2467372280255518,2.1931381643498478,2.2870750382723184,2.0730985383777067,2.33237375017902
increasing_neighbor,32,jitter_10,0.1,float64,raw_sph,raw_brookshaw_component_laplacian,Laplacian,Linf,10,6.769549517436661,0.8406979839938747,6.872369332845336,6.282007539595468,7.282197449619534,5.412277231846097,8.419488061555242
increasing_neighbor,32,jitter_10,0.1,float64,raw_sph,raw_difference_gradient,divergence,L1,10,0.5070048338275119,0.003850771216480152,0.5081240830765379,0.504557443420091,0.5091433221432673,0.5004457952270419,0.5123582112283662
