support_family,layout,jitter_fraction,dtype,candidate,operator_variant,operator,norm,mean_log_error_log_dx_slope,median_log_error_log_dx_slope,mean_endpoint_ratio_64_over_16,median_endpoint_ratio_64_over_16
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,L2,0.11713146995094251,0.12239112571212579,0.7982802878862526,0.7929672115130878
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,Linf,-0.4336514313716973,-0.4191192539386275,1.5869510105916067,1.5587369456293476
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,L1,1.7230805834131306,1.7233612633353002,0.09370452897279466,0.09370057954805161
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,L2,1.6990005751651256,1.6993787650281584,0.09703172146205354,0.096932075368253
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,Linf,1.1928563390270965,1.198158929176834,0.19449287294705736,0.19330853169433096
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,L1,1.7587232927641427,1.7585629031866299,0.08954118173591424,0.08957211802074824
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,L2,1.6567218525014042,1.6573977642098674,0.10310349661787085,0.1030146640053638
constant_neighbor,jitter_05,0.05,float64,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,Linf,1.0200068992979596,1.0297011740866606,0.24617984692558603,0.24547445096462364
constant_neighbor,jitter_05,0.05,float64,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,L1,0.2711307536624953,0.27388611976135757,0.6550021121309343,0.6487488159039678
constant_neighbor,jitter_05,0.05,float64,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,L2,0.11148441424770768,0.11556297926646802,0.8010761295834974,0.7916160131137591
constant_neighbor,jitter_05,0.05,float64,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,Linf,-0.6231524990787325,-0.6066202108664007,2.129028261969568,2.121686799733587
constant_neighbor,jitter_10,0.1,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L1,-0.2033562624468426,-0.1920897108698232,1.2318196713499272,1.2028783280814201
constant_neighbor,jitter_10,0.1,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L2,-0.3484396914629796,-0.33725226384858176,1.4869893570749686,1.455427124681114
constant_neighbor,jitter_10,0.1,float64,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,Linf,-0.941515279343109,-0.9264028147376867,3.466509021591258,3.4326767862662133
constant_neighbor,jitter_10,0.1,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L1,-0.2896619411752793,-0.28061003596219086,1.3744434161130612,1.3689329110851425
constant_neighbor,jitter_10,0.1,float64,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L2,-0.37519443234183575,-0.36119883562056404,1.5369448506453727,1.5129841260765156
