panel,resolution,particle_count,layout,jitter_fraction,s0_mean_abs,s0_l2,s0_linf,s1_l2,s1_linf,operator,norm,error,observed_order_from_previous,force_type,state_case,density_perturbation,pair_force_residual_l2,pair_force_residual_linf,total_internal_force,characteristic_normalized_internal_force,total_internal_torque,viscous_power,density_offset,density_amplitude,minimum_pressure,maximum_pressure,integration_scheme,dt,numerical,exact,absolute_error,observed_order,ad_completed_cases,ad_pass,canary_rows_used,conservation_pass,disorder_status,evidence_complete,final_status,gci_justified,gci_statement,jitter10_median_velocity_error_multiplier,mach_complete,mach_density_nonworsening,prerequisite_pass,provenance_pass,resource_pass,schema_version,space_gates,space_pass,space_slope_modal,space_slope_velocity,stage02_started,time_gates,time_modal_errors,time_pass,time_self_difference_coarse,time_self_difference_fine,time_self_difference_series_coarse,time_self_difference_series_fine,time_velocity_errors,v3_started
c,32,1024,jitter_10,0.1,,,,,,generic_sph_divergence,l1,0.3517597019672394,1.7869899004175192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_10,0.1,,,,,,generic_sph_divergence,l2,1.4629433155059814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,jitter_10,0.1,,,,,,generic_sph_divergence,l2,0.7166470289230347,1.7600089626493822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,jitter_10,0.1,,,,,,generic_sph_divergence,l2,0.4234042465686798,1.8292973133668167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_10,0.1,,,,,,generic_sph_divergence,linf,2.8259763717651367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,jitter_10,0.1,,,,,,generic_sph_divergence,linf,1.6699886322021484,1.2973671306110235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,jitter_10,0.1,,,,,,generic_sph_divergence,linf,1.0503158569335938,1.6119387639564349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_10,0.1,,,,,,generic_sph_gradient,l1,0.7217851281166077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,jitter_10,0.1,,,,,,generic_sph_gradient,l1,0.3458229601383209,1.814707369863538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,jitter_10,0.1,,,,,,generic_sph_gradient,l1,0.20131099224090576,1.880812475299905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_10,0.1,,,,,,generic_sph_gradient,l2,0.8239525556564331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,jitter_10,0.1,,,,,,generic_sph_gradient,l2,0.4068467915058136,1.7404118261383708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,jitter_10,0.1,,,,,,generic_sph_gradient,l2,0.24501337110996246,1.7627928344317354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_10,0.1,,,,,,generic_sph_gradient,linf,1.5754213333129883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,jitter_10,0.1,,,,,,generic_sph_gradient,linf,1.0354766845703125,1.0350110424614118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,32,1024,jitter_10,0.1,,,,,,generic_sph_gradient,linf,0.7721314430236816,1.0200926441384492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_10,0.1,,,,,,physical_nu_generic_laplacian,l1,3.7556049823760986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,24,576,jitter_10,0.1,,,,,,physical_nu_generic_laplacian,l1,2.484923839569092,1.0186015190374604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
