support_family,resolution,layout,jitter_fraction,seed,candidate,operator_variant,operator,norm,float32_error,float64_error,absolute_error_difference,relative_error_difference
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_brookshaw_component_laplacian,Laplacian,Linf,1.9781112670898438,1.9780460433809353,6.522370890849061e-05,3.2972719984779406e-05
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,L1,0.9225330948829651,0.9225333215970487,2.2671408361762957e-07,2.4575164745827524e-07
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,L2,1.0754755735397339,1.075474633062425,9.404773089194407e-07,8.744757501316644e-07
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,Linf,2.001422882080078,2.001360670204832,6.221187524602101e-05,3.108382331542259e-05
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L1,0.8587064146995544,0.8587071739241265,7.592245720999813e-07,8.841483979113288e-07
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L2,1.0010675191879272,1.0010671280527499,3.9113517735778203e-07,3.907180783121138e-07
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,Linf,1.8629531860351562,1.8628950574265986,5.812860855769486e-05,3.120239896172995e-05
constant_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L1,1.104093313217163,1.1040969633647393,3.650147576195195e-06,3.306002731020433e-06
constant_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L2,1.2871354818344116,1.2871386309216584,3.1490872467454523e-06,2.4465797009686064e-06
constant_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,Linf,2.395275115966797,2.3952481572648523,2.695870194457939e-05,1.1254950116115633e-05
constant_neighbor,32,regular,0.0,20261001,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L1,0.017229631543159485,0.01722961135401113,2.018914835658081e-08,1.1717690135165028e-06
constant_neighbor,32,regular,0.0,20261001,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L2,0.019014596939086914,0.01901455631143234,4.062765457391038e-08,2.1366561018390604e-06
constant_neighbor,32,regular,0.0,20261001,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,Linf,0.02637457847595215,0.026373947245079243,6.312308729050642e-07,2.3933306592202367e-05
constant_neighbor,32,regular,0.0,20261001,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,L1,0.01686558686196804,0.01686559237125114,5.5092830991698705e-09,3.266581438646009e-07
constant_neighbor,32,regular,0.0,20261001,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,L2,0.01861283741891384,0.01861282586586954,1.1553044302475834e-08,6.207030149382789e-07
constant_neighbor,32,regular,0.0,20261001,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,Linf,0.025817275047302246,0.025816731110004598,5.439372976479007e-07,2.1068733886566347e-05
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,kernel_S0,mean_abs,8.846737910062075e-05,8.832035099454638e-05,1.4702810607436327e-07,0.0016619471218553554
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,kernel_S0,L2,8.846740092849359e-05,8.83203509945464e-05,1.4704993394719227e-07,0.0016621934453126949
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,kernel_S0,Linf,8.869171142578125e-05,8.83203509953745e-05,3.7136043040675304e-07,0.004187092845959048
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,kernel_S1,L2,9.7879615523766e-10,2.2224073779251046e-18,9.787961530152526e-10,0.9999999977294481
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,kernel_S1,Linf,4.874891601502895e-09,7.425937848578451e-18,4.8748915940769575e-09,0.9999999984766968
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,mean_abs,9.150244295597076e-08,1.5211356479971627e-16,9.15024428038572e-08,0.999999998337601
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,L2,1.1028998869733186e-07,2.0047880318610026e-16,1.1028998849685306e-07,0.9999999981822575
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,Linf,7.152557373046875e-07,5.551115123125783e-16,7.15255736749576e-07,0.9999999992238978
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,kernel_S1,L2,8.101304072027915e-10,1.2246548304564642e-18,8.101304059781366e-10,0.9999999984883238
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,kernel_S1,Linf,5.122274160385132e-09,1.0842021724855044e-17,5.12227414954311e-09,0.9999999978833578
increasing_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,mean_abs,9.028008207678795e-08,8.955509944730267e-17,9.028008198723285e-08,0.9999999990080304
increasing_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,L2,1.0932632221738459e-07,1.8325775128286503e-16,1.0932632203412684e-07,0.9999999983237545
increasing_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,Linf,5.364418029785156e-07,6.661338147750939e-16,5.364418023123818e-07,0.9999999987582365
increasing_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S1,L2,1.401110671928052e-09,3.67628212148594e-18,1.4011106682517697e-09,0.9999999973761657
increasing_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S1,Linf,7.225992249004776e-09,1.2360751799282005e-17,7.225992236644024e-09,0.9999999982894042
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,scalar_interpolation,L1,0.0660514310002327,0.06605149844463178,6.744439907946376e-08,1.0210881004614844e-06
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,scalar_interpolation,L2,0.07700170576572418,0.07700178344776595,7.768204177138749e-08,1.0088343190659083e-06
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,scalar_interpolation,Linf,0.1432933807373047,0.14329332946622708,5.127107760571903e-08,3.578049268005806e-07
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,L1,0.06610558182001114,0.06610555389163475,2.7928376389319e-08,4.224813642115871e-07
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,L2,0.07706482708454132,0.07706480042576508,2.665877624208335e-08,3.459266341159535e-07
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,Linf,0.14341068267822266,0.1434105983421683,8.433605436231062e-08,5.880737249646836e-07
increasing_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,L1,0.06610558182001114,0.06610555389163476,2.792837637544121e-08,4.2248136400165344e-07
increasing_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,L2,0.07706482708454132,0.07706480042576509,2.665877622820556e-08,3.459266339358741e-07
increasing_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,Linf,0.14341068267822266,0.1434105983421683,8.433605436231062e-08,5.880737249646836e-07
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,gradient,L1,0.2951650023460388,0.29516508275987113,8.041383231516264e-08,2.7243680574704894e-07
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,gradient,L2,0.34336358308792114,0.3433637475722093,1.6448428813431448e-07,4.790380152165699e-07
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,gradient,Linf,0.6024265289306641,0.6024255305859949,9.983446691563813e-07,1.6572056860252999e-06
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,L1,0.29540595412254333,0.2954056636834092,2.9043913413184796e-07,9.831864594420634e-07
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,L2,0.34364384412765503,0.34364361389897136,2.302286836730616e-07,6.699630667253782e-07
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,Linf,0.6029191017150879,0.6029165510317602,2.5506833276622842e-06,4.230556504855308e-06
increasing_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L1,0.2943544387817383,0.294354262040989,1.7674074925810856e-07,6.004351420335148e-07
increasing_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L2,0.34242066740989685,0.34242052475587414,1.4265402270563499e-07,4.166045927796469e-07
increasing_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,Linf,0.6007723808288574,0.6007706630887437,1.7177401137047354e-06,2.8592195122799255e-06
increasing_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,L1,0.2754221558570862,0.27542240907466575,2.532175795710856e-07,9.193790019549189e-07
increasing_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,L2,0.3203968405723572,0.32039721521593373,3.746435765505929e-07,1.1693097154358831e-06
increasing_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,Linf,0.5621333122253418,0.5621311618930962,2.150332245598463e-06,3.825306557773366e-06
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,divergence,L1,0.4946320652961731,0.4946316924184321,3.7287774101724125e-07,7.538487032658741e-07
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,divergence,L2,0.6142280697822571,0.6142277444644316,3.2531782545586196e-07,5.296368587830684e-07
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,divergence,Linf,1.2048540115356445,1.2048510611719863,2.9503636582717263e-06,2.4487312404855966e-06
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,L1,0.4950357675552368,0.4950348530777504,9.144774864022764e-07,1.8472957841379364e-06
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,L2,0.6147294044494629,0.6147283845694341,1.019880028763076e-06,1.6590714896360887e-06
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,Linf,1.2058391571044922,1.2058331020635187,6.055040973507175e-06,5.021433362677303e-06
increasing_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L1,0.4932737350463867,0.49327293541140893,7.996349777883438e-07,1.621077549797269e-06
increasing_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L2,0.6125413179397583,0.6125404561962283,8.617435299784759e-07,1.4068333102441034e-06
increasing_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,Linf,1.2015457153320312,1.2015413261774839,4.389154547368435e-06,3.6529234729579555e-06
increasing_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,L1,0.46154648065567017,0.4615473180525011,8.373968309327573e-07,1.8143249850657853e-06
increasing_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,L2,0.5731428265571594,0.5731439624195643,1.1358624049107036e-06,1.9818099454726645e-06
increasing_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,Linf,1.1242618560791016,1.1242623237861835,4.6770708195253974e-07,4.160124128125546e-07
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L1,1.353928565979004,1.3539318976625998,3.3316835958974167e-06,2.4607468083506763e-06
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L2,1.5783891677856445,1.5783922127706278,3.0449849832692166e-06,1.929168782405615e-06
increasing_neighbor,32,regular,0.0,20261001,raw_sph,raw_brookshaw_component_laplacian,Laplacian,Linf,2.9372787475585938,2.9372446357024415,3.411185615220802e-05,1.1613421497895321e-05
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,L1,1.3561770915985107,1.3561766365645789,4.550339318676322e-07,3.3552692689366164e-07
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,L2,1.5810106992721558,1.5810090935817704,1.6056903853201021e-06,1.015610068963675e-06
increasing_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,Linf,2.942157745361328,2.94211441335505,4.3332006278262725e-05,1.472796839210302e-05
increasing_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L1,1.3261851072311401,1.3261835998639295,1.507367210606958e-06,1.136619015239959e-06
increasing_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L2,1.5460463762283325,1.5460436897476655,2.6864806670356955e-06,1.7376455896423476e-06
increasing_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,Linf,2.8770904541015625,2.877046970664992,4.34834365705683e-05,1.5113684211276214e-05
increasing_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L1,1.709615707397461,1.7096114596808603,4.247716600680462e-06,2.4846031668407744e-06
increasing_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L2,1.993043303489685,1.993037773526296,5.529963388983816e-06,2.7746328337679477e-06
increasing_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,Linf,3.7089004516601562,3.70886238647018,3.806518997606645e-05,1.0263200771276547e-05
increasing_neighbor,32,regular,0.0,20261001,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L1,0.025584585964679718,0.025584633731936913,4.776725719482511e-08,1.8670291588031594e-06
increasing_neighbor,32,regular,0.0,20261001,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,L2,0.028235100209712982,0.028235138263291507,3.805357852437741e-08,1.347738345374099e-06
increasing_neighbor,32,regular,0.0,20261001,conservative_pair_viscosity,symmetric_nonnegative_pair_Gamma,viscous_acceleration,Linf,0.03916364908218384,0.03916326180936602,3.8727281781447687e-07,9.888578487714348e-06
increasing_neighbor,32,regular,0.0,20261001,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,L1,0.025195442140102386,0.025195520620446978,7.848034459106978e-08,3.114853063499726e-06
increasing_neighbor,32,regular,0.0,20261001,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,L2,0.02780565619468689,0.027805713999567768,5.780488087844815e-08,2.078884968727892e-06
increasing_neighbor,32,regular,0.0,20261001,stage01b_style_generic_viscosity,frozen_one_sided_generic_laplacian,viscous_acceleration,Linf,0.03856801986694336,0.038567633245033095,3.866219102643953e-07,1.0024416902869541e-05
constant_neighbor,32,jitter_10,0.1,20261001,raw_sph,raw_kernel_weights,kernel_S0,mean_abs,0.01440598163753748,0.014405975393028648,6.2445088318957565e-09,4.334663884080291e-07
constant_neighbor,32,jitter_10,0.1,20261001,raw_sph,raw_kernel_weights,kernel_S0,L2,0.018117854371666908,0.01811785010601056,4.265656348978464e-09,2.3543937717311544e-07
constant_neighbor,32,jitter_10,0.1,20261001,raw_sph,raw_kernel_weights,kernel_S0,Linf,0.061991751194000244,0.061991555379917074,1.9581408317037585e-07,3.158711915680281e-06
constant_neighbor,32,jitter_10,0.1,20261001,raw_sph,raw_kernel_weights,kernel_S1,L2,0.0011002026731148362,0.001100202279836546,3.9327829014224047e-10,3.57459856945095e-07
