step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes,directed_edge_count,unique_pair_count
1450,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1475,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1500,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1525,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1550,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1575,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1600,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1625,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1650,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1675,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1700,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1725,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1750,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1775,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1800,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1825,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1850,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1875,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1900,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1925,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1950,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1975,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
2000,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
