step,edge_count,removed_vs_initial,added_vs_initial
631,82940,4,0
632,82940,4,0
633,82940,4,0
634,82940,4,0
635,82940,4,0
636,82940,4,0
637,82940,4,0
638,82940,4,0
639,82940,4,0
640,82940,4,0
641,82940,4,0
642,82940,4,0
643,82940,4,0
644,82940,4,0
645,82940,4,0
646,82940,4,0
647,82940,4,0
648,82940,4,0
649,82940,4,0
650,82940,4,0
651,82940,4,0
652,82940,4,0
653,82940,4,0
654,82940,4,0
655,82940,4,0
656,82940,4,0
657,82942,2,0
658,82942,2,0
659,82942,2,0
660,82942,2,0
661,82942,2,0
662,82942,2,0
663,82942,2,0
664,82942,2,0
665,82942,2,0
666,82942,2,0
667,82942,2,0
668,82942,2,0
669,82942,2,0
670,82942,2,0
671,82942,2,0
672,82942,2,0
673,82942,2,0
674,82942,2,0
675,82942,2,0
676,82942,2,0
677,82942,2,0
678,82942,2,0
679,82942,2,0
680,82942,2,0
681,82942,2,0
682,82942,2,0
683,82942,2,0
684,82942,2,0
685,82942,2,0
686,82942,2,0
687,82942,2,0
688,82942,2,0
689,82942,2,0
690,82942,2,0
691,82942,2,0
692,82942,2,0
693,82942,2,0
694,82942,2,0
695,82942,2,0
696,82942,2,0
697,82942,2,0
698,82942,2,0
699,82942,2,0
700,82942,2,0
701,82942,2,0
702,82942,2,0
703,82942,2,0
704,82942,2,0
705,82942,2,0
706,82942,2,0
707,82942,2,0
708,82942,2,0
709,82942,2,0
710,82942,2,0
711,82942,2,0
712,82942,2,0
713,82942,2,0
714,82942,2,0
715,82942,2,0
716,82942,2,0
717,82942,2,0
718,82942,2,0
719,82942,2,0
720,82942,2,0
721,82942,2,0
722,82942,2,0
723,82942,2,0
724,82942,2,0
725,82942,2,0
726,82942,2,0
727,82942,2,0
728,82942,2,0
729,82942,2,0
730,82942,2,0
731,82942,2,0
732,82942,2,0
733,82942,2,0
734,82942,2,0
735,82942,2,0
736,82942,2,0
737,82942,2,0
738,82942,2,0
739,82942,2,0
740,82942,2,0
741,82942,2,0
742,82944,0,0
743,82944,0,0
744,82944,0,0
745,82944,0,0
746,82944,0,0
747,82944,0,0
748,82944,0,0
749,82944,0,0
750,82944,0,0
751,82944,0,0
752,82944,0,0
753,82944,0,0
754,82944,0,0
755,82944,0,0
756,82944,0,0
757,82944,0,0
758,82944,0,0
759,82944,0,0
760,82944,0,0
761,82944,0,0
762,82944,0,0
763,82944,0,0
764,82944,0,0
765,82944,0,0
766,82944,0,0
767,82944,0,0
768,82944,0,0
769,82944,0,0
770,82944,0,0
771,82944,0,0
772,82944,0,0
773,82944,0,0
774,82944,0,0
775,82944,0,0
776,82944,0,0
