step,edge_count,action,edge_key,row,col,offset_x,offset_y,lattice_shell,relative_distance_r_over_H,absolute_relative_cutoff_distance,near_cutoff
517,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
517,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
518,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
518,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
518,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
518,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
519,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
519,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
519,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
519,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
520,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
520,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
520,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
520,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
521,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
521,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
521,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
521,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
522,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
522,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
522,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
522,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
523,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
523,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
523,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
523,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
524,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
524,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
524,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
524,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
525,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
525,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
525,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
525,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
526,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
526,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
526,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
526,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
527,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
527,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
527,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
527,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
528,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
528,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
528,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
528,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
529,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
529,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
529,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
529,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
530,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
530,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
530,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
530,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
531,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
531,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
531,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
531,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
532,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
532,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
532,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
532,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
533,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
533,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
533,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
533,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
534,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
534,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
534,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
534,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
535,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
535,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
535,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
535,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
536,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
536,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
536,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
536,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
537,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
537,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
537,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
537,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
538,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
538,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
538,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
538,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
539,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
539,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
539,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
539,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
540,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
540,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
540,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
540,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
541,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
541,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
541,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
541,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
542,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
542,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
542,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
542,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
543,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
543,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
543,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
543,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
544,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
544,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
544,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
544,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
545,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
545,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
545,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
545,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
546,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
546,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
546,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
546,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
547,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
547,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
547,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
547,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
548,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
548,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
548,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
548,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
549,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
549,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
549,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
549,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
550,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
550,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
550,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
550,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
551,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
551,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
551,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
551,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
552,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
552,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
552,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
552,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
553,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
553,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
553,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
