semantic_slot,tensor_object_id,storage_key,shape,dtype,nbytes,gc_is_tracked,is_tensor_view,base_storage,creation_step,replacement_step,retirement_step,last_alive_step,gc_generation,python_owner_object_type,owner_creation_location,owner_source_module,owner_category,owner_project_owned,owner_diagnostic_owned
endpoint_neighborhood.displacement,4452442480,cpu:5241864192:1327104,82944x2,torch.float64,1327104,True,False,none,51,77,78,78,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452448160,cpu:5241864192:1327104,82944x2,torch.float64,1327104,True,False,none,51,79,80,81,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451658608,cpu:5777260544:1327104,82944x2,torch.float64,1327104,True,False,none,53,54,55,165,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452319712,cpu:4972740608:1327104,82944x2,torch.float64,1327104,True,False,none,55,56,57,165,2,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452118400,cpu:5511806976:1327104,82944x2,torch.float64,1327104,True,False,none,56,57,58,58,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452875424,cpu:5511806976:1327104,82944x2,torch.float64,1327104,True,False,none,56,69,70,71,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453256880,cpu:5511806976:1327104,82944x2,torch.float64,1327104,True,False,none,56,88,89,89,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453522784,cpu:5784338432:1327104,82944x2,torch.float64,1327104,True,False,none,56,152,153,153,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452574112,cpu:5785681920:1327104,82944x2,torch.float64,1327104,True,False,none,57,67,68,68,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453021760,cpu:5785681920:1327104,82944x2,torch.float64,1327104,True,False,none,57,115,116,117,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453824096,cpu:5785681920:1327104,82944x2,torch.float64,1327104,True,False,none,57,118,119,119,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452434480,cpu:4968677376:1327104,82944x2,torch.float64,1327104,True,False,none,58,59,60,60,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453021840,cpu:5249269760:1327104,82944x2,torch.float64,1327104,True,False,none,58,93,94,95,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453520304,cpu:5249269760:1327104,82944x2,torch.float64,1327104,True,False,none,58,98,99,122,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453918560,cpu:5249269760:1327104,82944x2,torch.float64,1327104,True,False,none,58,128,129,131,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454032128,cpu:4968677376:1327104,82944x2,torch.float64,1327104,True,False,none,58,141,142,142,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451431712,cpu:5250613248:1327104,82944x2,torch.float64,1327104,True,False,none,59,76,77,78,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454695632,cpu:5250613248:1327104,82944x2,torch.float64,1327104,True,False,none,59,163,164,165,2,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452565872,cpu:5786370048:1327104,82944x2,torch.float64,1327104,True,False,none,60,96,97,97,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452574112,cpu:5787713536:1327104,82944x2,torch.float64,1327104,True,False,none,60,61,62,63,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452570832,cpu:5243568128:1327104,82944x2,torch.float64,1327104,True,False,none,61,62,63,63,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452438160,cpu:5515214848:1327104,82944x2,torch.float64,1327104,True,False,none,63,64,65,66,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452875584,cpu:5515214848:1327104,82944x2,torch.float64,1327104,True,False,none,63,102,103,103,0,unresolved,unresolved,unresolved,unresolved,False,False
