run_id,solution,N,H_over_dx,execution_type,conditional_status,output_directory,t_final_contract,dt_or_time_control,steps_or_integration_contract,common_time_contract,dependency_predecessors,parameter_source_priority,resolution_status
f5_hold_a_dt6p25e5_rep2,MMS-A,28,4.75,determinism_repeat,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_a_dt6p25e5_rep2,0.015,dt=6.25e-5,240,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_hold_a_dt6p25e5=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_hold_b_dt6p25e5_rep2,MMS-B,28,4.75,determinism_repeat,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_b_dt6p25e5_rep2,0.015,dt=6.25e-5,240,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_hold_b_dt6p25e5=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_space_a_n32_rep2,MMS-A,32,5.049509756796392,determinism_repeat,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_a_n32_rep2,0.02,SPACE_STEP_DECISION:{6.25e-5|3.125e-5},320_if_dt=6.25e-5;640_if_dt=3.125e-5,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,f5_space_a_n32=PASS,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_space_b_n32_rep2,MMS-B,32,5.049509756796392,determinism_repeat,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_space_b_n32_rep2,0.02,SPACE_STEP_DECISION:{6.25e-5|3.125e-5},320_if_dt=6.25e-5;640_if_dt=3.125e-5,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,f5_space_b_n32=PASS,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n16_baseline,MMS-B,16,4.06155281280883,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n16_baseline,0.02,max_step=3.125e-5,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n16_tighter,MMS-B,16,4.06155281280883,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n16_tighter,0.02,max_step=1.5625e-5,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n16_third,MMS-B,16,4.06155281280883,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n16_third,0.02,max_step=7.8125e-6,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n24_baseline,MMS-B,24,4.5,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n24_baseline,0.02,max_step=3.125e-5,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n24_tighter,MMS-B,24,4.5,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n24_tighter,0.02,max_step=1.5625e-5,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n24_third,MMS-B,24,4.5,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n24_third,0.02,max_step=7.8125e-6,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n32_baseline,MMS-B,32,5.049509756796392,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n32_baseline,0.02,max_step=3.125e-5,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n32_tighter,MMS-B,32,5.049509756796392,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n32_tighter,0.02,max_step=1.5625e-5,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n32_third,MMS-B,32,5.049509756796392,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n32_third,0.02,max_step=7.8125e-6,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n48_baseline,MMS-B,48,5.5,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n48_baseline,0.02,max_step=3.125e-5,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_space_b_n48_tighter,MMS-B,48,5.5,space_mms_b_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_space_b_n48_tighter,0.02,max_step=1.5625e-5,adaptive_DOP853_to_bound_t_final,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv;count=21;interpolation=false,stage01f5q_horizon_amendment_frozen,run_row>stage01f5q_binding>stage01f5_frozen_config>no_default,RESOLVED
