field,value
topology.s[386],0.09423828125
topology.s[387],0.094482421875
topology.s[388],0.0947265625
topology.s[389],0.094970703125
topology.s[390],0.09521484375
topology.s[391],0.095458984375
topology.s[392],0.095703125
topology.s[393],0.095947265625
topology.s[394],0.09619140625
topology.s[395],0.096435546875
topology.s[396],0.0966796875
topology.s[397],0.096923828125
topology.s[398],0.09716796875
topology.s[399],0.097412109375
topology.s[400],0.09765625
topology.s[401],0.097900390625
topology.s[402],0.09814453125
topology.s[403],0.098388671875
topology.s[404],0.0986328125
topology.s[405],0.098876953125
topology.s[406],0.09912109375
topology.s[407],0.099365234375
topology.s[408],0.099609375
topology.s[409],0.099853515625
topology.s[410],0.10009765625
topology.s[411],0.100341796875
topology.s[412],0.1005859375
topology.s[413],0.100830078125
topology.s[414],0.10107421875
topology.s[415],0.101318359375
topology.s[416],0.1015625
topology.s[417],0.101806640625
topology.s[418],0.10205078125
topology.s[419],0.102294921875
topology.s[420],0.1025390625
topology.s[421],0.102783203125
topology.s[422],0.10302734375
topology.s[423],0.103271484375
topology.s[424],0.103515625
topology.s[425],0.103759765625
topology.s[426],0.10400390625
topology.s[427],0.104248046875
topology.s[428],0.1044921875
topology.s[429],0.104736328125
topology.s[430],0.10498046875
topology.s[431],0.105224609375
topology.s[432],0.10546875
topology.s[433],0.105712890625
topology.s[434],0.10595703125
topology.s[435],0.106201171875
topology.s[436],0.1064453125
topology.s[437],0.106689453125
topology.s[438],0.10693359375
topology.s[439],0.107177734375
topology.s[440],0.107421875
topology.s[441],0.107666015625
topology.s[442],0.10791015625
topology.s[443],0.108154296875
topology.s[444],0.1083984375
topology.s[445],0.108642578125
topology.s[446],0.10888671875
topology.s[447],0.109130859375
topology.s[448],0.109375
topology.s[449],0.109619140625
topology.s[450],0.10986328125
topology.s[451],0.110107421875
topology.s[452],0.1103515625
topology.s[453],0.110595703125
topology.s[454],0.11083984375
topology.s[455],0.111083984375
topology.s[456],0.111328125
topology.s[457],0.111572265625
topology.s[458],0.11181640625
topology.s[459],0.112060546875
topology.s[460],0.1123046875
topology.s[461],0.112548828125
topology.s[462],0.11279296875
topology.s[463],0.113037109375
topology.s[464],0.11328125
topology.s[465],0.113525390625
topology.s[466],0.11376953125
topology.s[467],0.114013671875
topology.s[468],0.1142578125
topology.s[469],0.114501953125
topology.s[470],0.11474609375
topology.s[471],0.114990234375
topology.s[472],0.115234375
topology.s[473],0.115478515625
topology.s[474],0.11572265625
topology.s[475],0.115966796875
topology.s[476],0.1162109375
topology.s[477],0.116455078125
topology.s[478],0.11669921875
topology.s[479],0.116943359375
topology.s[480],0.1171875
topology.s[481],0.117431640625
topology.s[482],0.11767578125
topology.s[483],0.117919921875
topology.s[484],0.1181640625
topology.s[485],0.118408203125
topology.s[486],0.11865234375
topology.s[487],0.118896484375
topology.s[488],0.119140625
topology.s[489],0.119384765625
topology.s[490],0.11962890625
topology.s[491],0.119873046875
topology.s[492],0.1201171875
topology.s[493],0.120361328125
topology.s[494],0.12060546875
topology.s[495],0.120849609375
topology.s[496],0.12109375
topology.s[497],0.121337890625
topology.s[498],0.12158203125
topology.s[499],0.121826171875
topology.s[500],0.1220703125
topology.s[501],0.122314453125
topology.s[502],0.12255859375
topology.s[503],0.122802734375
topology.s[504],0.123046875
topology.s[505],0.123291015625
topology.s[506],0.12353515625
topology.s[507],0.123779296875
topology.s[508],0.1240234375
topology.s[509],0.124267578125
topology.s[510],0.12451171875
topology.s[511],0.124755859375
topology.s[512],0.125
topology.s[513],0.125244140625
topology.s[514],0.12548828125
topology.s[515],0.125732421875
topology.s[516],0.1259765625
topology.s[517],0.126220703125
topology.s[518],0.12646484375
topology.s[519],0.126708984375
topology.s[520],0.126953125
topology.s[521],0.127197265625
topology.s[522],0.12744140625
topology.s[523],0.127685546875
topology.s[524],0.1279296875
topology.s[525],0.128173828125
topology.s[526],0.12841796875
topology.s[527],0.128662109375
topology.s[528],0.12890625
topology.s[529],0.129150390625
topology.s[530],0.12939453125
topology.s[531],0.129638671875
topology.s[532],0.1298828125
topology.s[533],0.130126953125
topology.s[534],0.13037109375
topology.s[535],0.130615234375
topology.s[536],0.130859375
topology.s[537],0.131103515625
topology.s[538],0.13134765625
topology.s[539],0.131591796875
topology.s[540],0.1318359375
topology.s[541],0.132080078125
topology.s[542],0.13232421875
topology.s[543],0.132568359375
topology.s[544],0.1328125
topology.s[545],0.133056640625
topology.s[546],0.13330078125
topology.s[547],0.133544921875
topology.s[548],0.1337890625
topology.s[549],0.134033203125
topology.s[550],0.13427734375
topology.s[551],0.134521484375
topology.s[552],0.134765625
topology.s[553],0.135009765625
topology.s[554],0.13525390625
topology.s[555],0.135498046875
topology.s[556],0.1357421875
topology.s[557],0.135986328125
topology.s[558],0.13623046875
topology.s[559],0.136474609375
topology.s[560],0.13671875
topology.s[561],0.136962890625
topology.s[562],0.13720703125
topology.s[563],0.137451171875
topology.s[564],0.1376953125
topology.s[565],0.137939453125
topology.s[566],0.13818359375
topology.s[567],0.138427734375
topology.s[568],0.138671875
topology.s[569],0.138916015625
topology.s[570],0.13916015625
topology.s[571],0.139404296875
topology.s[572],0.1396484375
topology.s[573],0.139892578125
topology.s[574],0.14013671875
topology.s[575],0.140380859375
topology.s[576],0.140625
topology.s[577],0.140869140625
topology.s[578],0.14111328125
topology.s[579],0.141357421875
topology.s[580],0.1416015625
topology.s[581],0.141845703125
topology.s[582],0.14208984375
topology.s[583],0.142333984375
topology.s[584],0.142578125
topology.s[585],0.142822265625
topology.s[586],0.14306640625
topology.s[587],0.143310546875
topology.s[588],0.1435546875
topology.s[589],0.143798828125
topology.s[590],0.14404296875
topology.s[591],0.144287109375
topology.s[592],0.14453125
topology.s[593],0.144775390625
topology.s[594],0.14501953125
topology.s[595],0.145263671875
topology.s[596],0.1455078125
topology.s[597],0.145751953125
topology.s[598],0.14599609375
topology.s[599],0.146240234375
topology.s[600],0.146484375
topology.s[601],0.146728515625
topology.s[602],0.14697265625
topology.s[603],0.147216796875
topology.s[604],0.1474609375
topology.s[605],0.147705078125
