step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes,directed_edge_count,unique_pair_count
1200,20,19,3971136,65568,3840032,65536,0,0,0,0,0,65568,3840032,0,16384,16384,0,32768,0,0,0,80000,40512
1225,20,19,3970368,65568,3839264,65536,0,0,0,0,0,65568,3839264,0,16384,16384,0,32768,0,0,0,79984,40504
1250,20,19,3968832,65568,3837728,65536,0,0,0,0,0,65568,3837728,0,16384,16384,0,32768,0,0,0,79952,40488
1275,20,19,3968832,65568,3837728,65536,0,0,0,0,0,65568,3837728,0,16384,16384,0,32768,0,0,0,79952,40488
1300,20,19,3987264,65568,3856160,65536,0,0,0,0,0,65568,3856160,0,16384,16384,0,32768,0,0,0,80336,40680
1325,20,19,3990336,65568,3859232,65536,0,0,0,0,0,65568,3859232,0,16384,16384,0,32768,0,0,0,80400,40712
1350,20,19,3982656,65568,3851552,65536,0,0,0,0,0,65568,3851552,0,16384,16384,0,32768,0,0,0,80240,40632
1375,20,19,3982656,65568,3851552,65536,0,0,0,0,0,65568,3851552,0,16384,16384,0,32768,0,0,0,80240,40632
1400,20,19,3984192,65568,3853088,65536,0,0,0,0,0,65568,3853088,0,16384,16384,0,32768,0,0,0,80272,40648
1425,20,19,3978048,65568,3846944,65536,0,0,0,0,0,65568,3846944,0,16384,16384,0,32768,0,0,0,80144,40584
1450,20,19,3974208,65568,3843104,65536,0,0,0,0,0,65568,3843104,0,16384,16384,0,32768,0,0,0,80064,40544
1475,20,19,3976512,65568,3845408,65536,0,0,0,0,0,65568,3845408,0,16384,16384,0,32768,0,0,0,80112,40568
1500,20,19,3980352,65568,3849248,65536,0,0,0,0,0,65568,3849248,0,16384,16384,0,32768,0,0,0,80192,40608
1525,20,19,3969600,65568,3838496,65536,0,0,0,0,0,65568,3838496,0,16384,16384,0,32768,0,0,0,79968,40496
1550,20,19,3977280,65568,3846176,65536,0,0,0,0,0,65568,3846176,0,16384,16384,0,32768,0,0,0,80128,40576
1575,20,19,3977280,65568,3846176,65536,0,0,0,0,0,65568,3846176,0,16384,16384,0,32768,0,0,0,80128,40576
1600,20,19,3985728,65568,3854624,65536,0,0,0,0,0,65568,3854624,0,16384,16384,0,32768,0,0,0,80304,40664
1625,20,19,3987264,65568,3856160,65536,0,0,0,0,0,65568,3856160,0,16384,16384,0,32768,0,0,0,80336,40680
1650,20,19,3981888,65568,3850784,65536,0,0,0,0,0,65568,3850784,0,16384,16384,0,32768,0,0,0,80224,40624
1675,20,19,3975744,65568,3844640,65536,0,0,0,0,0,65568,3844640,0,16384,16384,0,32768,0,0,0,80096,40560
1700,20,19,3974976,65568,3843872,65536,0,0,0,0,0,65568,3843872,0,16384,16384,0,32768,0,0,0,80080,40552
1725,20,19,3981120,65568,3850016,65536,0,0,0,0,0,65568,3850016,0,16384,16384,0,32768,0,0,0,80208,40616
1750,20,19,3996480,65568,3865376,65536,0,0,0,0,0,65568,3865376,0,16384,16384,0,32768,0,0,0,80528,40776
1775,20,19,3986496,65568,3855392,65536,0,0,0,0,0,65568,3855392,0,16384,16384,0,32768,0,0,0,80320,40672
1800,20,19,3976512,65568,3845408,65536,0,0,0,0,0,65568,3845408,0,16384,16384,0,32768,0,0,0,80112,40568
1825,20,19,3976512,65568,3845408,65536,0,0,0,0,0,65568,3845408,0,16384,16384,0,32768,0,0,0,80112,40568
1850,20,19,3968832,65568,3837728,65536,0,0,0,0,0,65568,3837728,0,16384,16384,0,32768,0,0,0,79952,40488
1875,20,19,3981120,65568,3850016,65536,0,0,0,0,0,65568,3850016,0,16384,16384,0,32768,0,0,0,80208,40616
1900,20,19,3984192,65568,3853088,65536,0,0,0,0,0,65568,3853088,0,16384,16384,0,32768,0,0,0,80272,40648
1925,20,19,3978816,65568,3847712,65536,0,0,0,0,0,65568,3847712,0,16384,16384,0,32768,0,0,0,80160,40592
1950,20,19,3983424,65568,3852320,65536,0,0,0,0,0,65568,3852320,0,16384,16384,0,32768,0,0,0,80256,40640
1975,20,19,3988800,65568,3857696,65536,0,0,0,0,0,65568,3857696,0,16384,16384,0,32768,0,0,0,80368,40696
2000,20,19,3984192,65568,3853088,65536,0,0,0,0,0,65568,3853088,0,16384,16384,0,32768,0,0,0,80272,40648
