support_family,layout,N,cases,H,dx,dx_over_H,density_rms_mean,density_rms_max,EOS_pressure_rms_mean,EOS_pressure_rms_max,R_pressure_operator_L2_mean,R_pressure_operator_L2_max,R_EOS_initialization_L2_mean,R_EOS_initialization_L2_max,R_viscosity_L2_mean,R_viscosity_L2_max,R_total_L2_mean,R_total_L2_max,closure_Linf_mean,closure_Linf_max,mean_edge_count_mean,mean_edge_count_max
constant_neighbor,jitter_10,16,10,0.5,0.125,0.25,0.01798279353974911,0.01990765050845735,7.193117415899644,7.96306020338294,0.37973819950913,0.38726124267775924,30.764350189585386,35.19958560537093,0.025479635922702817,0.026936279447242254,30.775504041948665,35.181122836416115,1.1031887398365984e-14,2.0830633464956117e-14,12170.6,12204.0
constant_neighbor,jitter_10,24,10,0.3333333333333333,0.08333333333333333,0.25,0.01809480741802523,0.019395270252983193,7.237922967210091,7.758108101193278,0.21901690548736702,0.22624473238917128,46.64523335813284,51.14060477341077,0.026903670871594086,0.029588004299828764,46.649450922471836,51.14596153192103,1.9261983070206996e-14,2.2706927843887348e-14,27382.6,27428.0
constant_neighbor,jitter_10,32,10,0.25,0.0625,0.25,0.018350265002349594,0.019647912051294743,7.340106000939837,7.859164820517897,0.19679406898574203,0.2016687720288227,63.581698308871,69.2522711141594,0.03438182632596265,0.035829150561074025,63.582418547437726,69.25814368737237,2.985007561198797e-14,4.5074816061035274e-14,48706.8,48750.0
constant_neighbor,jitter_10,48,10,0.16666666666666666,0.041666666666666664,0.25,0.018268203812302358,0.019308767223837665,7.307281524920942,7.723506889535066,0.24863186422969272,0.2552006303497172,94.67986271915042,101.53488625677828,0.050498199985911076,0.05221655109962418,94.67718642887213,101.52215433651104,4.674978262556143e-14,6.116512924537676e-14,109585.4,109682.0
constant_neighbor,jitter_10,64,10,0.125,0.03125,0.25,0.018264506082900894,0.018841132499031694,7.305802433160357,7.536452999612678,0.3259386440676758,0.33679027523623406,125.93862031009944,130.4575342058787,0.06709348890040107,0.06908860682025356,125.9401791054421,130.46735835661488,6.899951800272906e-14,8.357594452792369e-14,194768.6,194978.0
increasing_neighbor,regular,16,1,0.5,0.125,0.25,0.0004157504550326525,0.0004157504550326525,0.166300182013061,0.166300182013061,0.36733071852628396,0.36733071852628396,1.2034656082685662,1.2034656082685662,0.018199110766943024,0.018199110766943024,1.5709017499210132,1.5709017499210132,2.9893669801409083e-16,2.9893669801409083e-16,12544.0,12544.0
increasing_neighbor,regular,24,1,0.375,0.08333333333333333,0.2222222222222222,0.00017698581884511235,0.00017698581884511235,0.07079432753804495,0.07079432753804495,0.2171706166744939,0.2171706166744939,1.3536257101205813,1.3536257101205813,0.010386816085116494,0.010386816085116494,1.5708306675836472,1.5708306675836472,3.236828524569469e-16,3.236828524569469e-16,39744.0,39744.0
increasing_neighbor,regular,32,1,0.3125,0.0625,0.2,8.83203509945464e-05,8.83203509945464e-05,0.03532814039781856,0.03532814039781856,0.15380724511540791,0.15380724511540791,1.4169890816793942,1.4169890816793942,0.007345242208509425,0.007345242208509425,1.5708135003415091,1.5708135003415091,2.9893669801409083e-16,2.9893669801409083e-16,82944.0,82944.0
increasing_neighbor,regular,48,1,0.22916666666666666,0.041666666666666664,0.18181818181818182,4.401800624208924e-05,4.401800624208924e-05,0.017607202496835696,0.017607202496835696,0.08444012088177036,0.08444012088177036,1.4863562059131905,1.4863562059131905,0.004061178973628622,0.004061178973628622,1.5708015767267354,1.5708015767267354,3.554447978966673e-16,3.554447978966673e-16,223488.0,223488.0
increasing_neighbor,regular,64,1,0.1875,0.03125,0.16666666666666666,2.4790505465340765e-05,2.4790505465340765e-05,0.009916202186136307,0.009916202186136307,0.05702004574547182,0.05702004574547182,1.5137762810494142,1.5137762810494142,0.0028118257249149102,0.0028118257249149102,1.5707988434666655,1.5707988434666655,4.002966042486721e-16,4.002966042486721e-16,462848.0,462848.0
increasing_neighbor,jitter_05,16,10,0.5,0.125,0.25,0.009005020750832815,0.009943686910337122,3.602008300333126,3.9774747641348487,0.37006894579098276,0.3734897446783951,15.447346366760025,17.559122609227604,0.02022900944072309,0.021003077376664306,15.474072296187408,17.55615379550092,5.846666517833382e-15,8.895567264614205e-15,12033.2,12060.0
increasing_neighbor,jitter_05,24,10,0.375,0.08333333333333333,0.2222222222222222,0.007128984335830433,0.007682770745141011,2.851593734332173,3.073108298056404,0.22245612803085593,0.22527746138448373,16.374550517424744,18.48242987740247,0.013748707191795485,0.014360838305139944,16.392351334586873,18.506903501012854,6.693098334651524e-15,9.166869763339247e-15,38553.0,38606.0
increasing_neighbor,jitter_05,32,10,0.3125,0.0625,0.2,0.005886035798919998,0.00653421973991434,2.3544143195679994,2.6136878959657364,0.16000041479697352,0.16100087509249816,16.37616151907504,18.812467698552584,0.011378160046035759,0.011807515799268692,16.38962033603904,18.827179125982983,8.140295465978473e-15,1.0560996521746802e-14,76799.0,76862.0
increasing_neighbor,jitter_05,48,10,0.22916666666666666,0.041666666666666664,0.18181818181818182,0.004817895260436067,0.005247480285930541,1.9271581041744266,2.098992114372216,0.09670743015208379,0.09799406876136381,18.20980600247513,20.04847418635777,0.010378479548315306,0.010991611211461257,18.215833789480715,20.057026440127505,9.729791351518505e-15,1.1605176158405508e-14,223484.4,223488.0
increasing_neighbor,jitter_05,64,10,0.1875,0.03125,0.16666666666666666,0.004063796389833455,0.004264004635594646,1.6255185559333822,1.7056018542378586,0.0741167465625524,0.07506617335631256,18.82852820834783,20.006015626589296,0.010163517339710701,0.010471830037093061,18.832991568175366,20.010820593415552,1.048021003216185e-14,1.1602181281778922e-14,455157.8,455242.0
increasing_neighbor,jitter_10,16,10,0.5,0.125,0.25,0.01798279353974911,0.01990765050845735,7.193117415899644,7.96306020338294,0.37973819950913,0.38726124267775924,30.764350189585386,35.19958560537093,0.025479635922702817,0.026936279447242254,30.775504041948665,35.181122836416115,1.1031887398365984e-14,2.0830633464956117e-14,12170.6,12204.0
increasing_neighbor,jitter_10,24,10,0.375,0.08333333333333333,0.2222222222222222,0.014249253343783333,0.015404822209392247,5.699701337513333,6.1619288837568975,0.23684923902578614,0.24332275799079883,32.64401341852246,36.88488068503075,0.0206996720929152,0.022378008976239115,32.65194123012042,36.90012944217679,1.3738545259670807e-14,2.0021642996041032e-14,38018.2,38054.0
increasing_neighbor,jitter_10,32,10,0.3125,0.0625,0.2,0.011767048374690215,0.013088431292271952,4.706819349876086,5.235372516908781,0.17700530459858255,0.18102391199576232,32.643763169454886,37.594549290570086,0.018848235966678013,0.019945751579624013,32.6499682909128,37.604040227916016,1.611924741557715e-14,2.2179205904078238e-14,77787.4,77858.0
increasing_neighbor,jitter_10,48,10,0.22916666666666666,0.041666666666666664,0.18181818181818182,0.009633055447238545,0.010497367978620005,3.853222178895418,4.198947191448002,0.1263056980433284,0.13001944147682076,36.31732033154064,40.0141228504019,0.019519993155124066,0.020746666718146976,36.3188165414895,40.02027405140536,2.0555212148045078e-14,2.44804658797005e-14,222101.6,222178.0
increasing_neighbor,jitter_10,64,10,0.1875,0.03125,0.16666666666666666,0.008124612658002305,0.008524636047789063,3.2498450632009224,3.4098544191156255,0.11055514295157103,0.1128335641236455,37.55828782480677,39.906385773452534,0.019719521256061284,0.020396004919233247,37.56042506837107,39.909636429060285,2.0833977738692982e-14,2.3538364596743567e-14,459640.0,459812.0
