panel,lineage,run_id,Q_def,origin,record_id,variant
(a),HET_S1_02,D1_seed20700712,0.11816902442897784,24,HET_S1_02_LOW_N8_O24,LOW
(a),HET_S1_02,D1_seed20700712,0.11697680323984058,25,HET_S1_02_LOW_N8_O25,LOW
(a),HET_S1_02,D1_seed20700712,0.11583912802559557,26,HET_S1_02_LOW_N8_O26,LOW
(a),HET_S1_02,D1_seed20700712,0.11475825640095991,27,HET_S1_02_LOW_N8_O27,LOW
(a),HET_S1_02,D1_seed20700712,0.11373646761067203,28,HET_S1_02_LOW_N8_O28,LOW
(a),HET_S1_02,D1_seed20700712,0.11277598330547199,29,HET_S1_02_LOW_N8_O29,LOW
(a),HET_S1_02,D1_seed20700712,0.11187895468898601,30,HET_S1_02_LOW_N8_O30,LOW
(a),HET_S1_02,D1_seed20700712,0.11104746719783416,31,HET_S1_02_LOW_N8_O31,LOW
(a),HET_S1_02,D1_seed20700712,0.2099106667462133,0,HET_S1_02_MAIN_N8_O00,MAIN
(a),HET_S1_02,D1_seed20700712,0.20742497969834608,1,HET_S1_02_MAIN_N8_O01,MAIN
(a),HET_S1_02,D1_seed20700712,0.20494952114811102,2,HET_S1_02_MAIN_N8_O02,MAIN
(a),HET_S1_02,D1_seed20700712,0.2024861490355378,3,HET_S1_02_MAIN_N8_O03,MAIN
(a),HET_S1_02,D1_seed20700712,0.20003679140627692,4,HET_S1_02_MAIN_N8_O04,MAIN
(a),HET_S1_02,D1_seed20700712,0.1976034334256562,5,HET_S1_02_MAIN_N8_O05,MAIN
(a),HET_S1_02,D1_seed20700712,0.19518811902962735,6,HET_S1_02_MAIN_N8_O06,MAIN
(a),HET_S1_02,D1_seed20700712,0.1927929486038842,7,HET_S1_02_MAIN_N8_O07,MAIN
(a),HET_S1_02,D1_seed20700712,0.19042013555818824,8,HET_S1_02_MAIN_N8_O08,MAIN
(a),HET_S1_02,D1_seed20700712,0.18807202624908995,9,HET_S1_02_MAIN_N8_O09,MAIN
(a),HET_S1_02,D1_seed20700712,0.18575097276501068,10,HET_S1_02_MAIN_N8_O10,MAIN
(a),HET_S1_02,D1_seed20700712,0.18345935880474212,11,HET_S1_02_MAIN_N8_O11,MAIN
(a),HET_S1_02,D1_seed20700712,0.18119967309890203,12,HET_S1_02_MAIN_N8_O12,MAIN
(a),HET_S1_02,D1_seed20700712,0.17897448566259816,13,HET_S1_02_MAIN_N8_O13,MAIN
(a),HET_S1_02,D1_seed20700712,0.17678642698753116,14,HET_S1_02_MAIN_N8_O14,MAIN
(a),HET_S1_02,D1_seed20700712,0.17463820046912093,15,HET_S1_02_MAIN_N8_O15,MAIN
(a),HET_S1_02,D1_seed20700712,0.17253258056547358,16,HET_S1_02_MAIN_N8_O16,MAIN
(a),HET_S1_02,D1_seed20700712,0.17047240365917926,17,HET_S1_02_MAIN_N8_O17,MAIN
(a),HET_S1_02,D1_seed20700712,0.16846053522232118,18,HET_S1_02_MAIN_N8_O18,MAIN
(a),HET_S1_02,D1_seed20700712,0.16649988511854086,19,HET_S1_02_MAIN_N8_O19,MAIN
(a),HET_S1_02,D1_seed20700712,0.16459345860773417,20,HET_S1_02_MAIN_N8_O20,MAIN
(a),HET_S1_02,D1_seed20700712,0.16274435776936305,21,HET_S1_02_MAIN_N8_O21,MAIN
(a),HET_S1_02,D1_seed20700712,0.16095566336580414,22,HET_S1_02_MAIN_N8_O22,MAIN
(a),HET_S1_02,D1_seed20700712,0.15923039722553706,23,HET_S1_02_MAIN_N8_O23,MAIN
(a),HET_S1_02,D1_seed20700712,0.157571690160464,24,HET_S1_02_MAIN_N8_O24,MAIN
(a),HET_S1_02,D1_seed20700712,0.15598267243909605,25,HET_S1_02_MAIN_N8_O25,MAIN
(a),HET_S1_02,D1_seed20700712,0.15446644053491024,26,HET_S1_02_MAIN_N8_O26,MAIN
(a),HET_S1_02,D1_seed20700712,0.15302600630178903,27,HET_S1_02_MAIN_N8_O27,MAIN
(a),HET_S1_02,D1_seed20700712,0.15166438139754607,28,HET_S1_02_MAIN_N8_O28,MAIN
(a),HET_S1_02,D1_seed20700712,0.15038450751942176,29,HET_S1_02_MAIN_N8_O29,MAIN
(a),HET_S1_02,D1_seed20700712,0.1491892583805862,30,HET_S1_02_MAIN_N8_O30,MAIN
(a),HET_S1_02,D1_seed20700712,0.1480813939341615,31,HET_S1_02_MAIN_N8_O31,MAIN
(a),HET_S1_02,D1_seed20700713,0.16653465636436265,0,HET_S1_02_LOW_N8_O00,LOW
(a),HET_S1_02,D1_seed20700713,0.1642887905758445,1,HET_S1_02_LOW_N8_O01,LOW
(a),HET_S1_02,D1_seed20700713,0.16202607263610766,2,HET_S1_02_LOW_N8_O02,LOW
(a),HET_S1_02,D1_seed20700713,0.1597471687740928,3,HET_S1_02_LOW_N8_O03,LOW
(a),HET_S1_02,D1_seed20700713,0.15745276779184764,4,HET_S1_02_LOW_N8_O04,LOW
(a),HET_S1_02,D1_seed20700713,0.15514358549954385,5,HET_S1_02_LOW_N8_O05,LOW
(a),HET_S1_02,D1_seed20700713,0.15282036005976474,6,HET_S1_02_LOW_N8_O06,LOW
(a),HET_S1_02,D1_seed20700713,0.1504838480214183,7,HET_S1_02_LOW_N8_O07,LOW
(a),HET_S1_02,D1_seed20700713,0.14813484753777317,8,HET_S1_02_LOW_N8_O08,LOW
(a),HET_S1_02,D1_seed20700713,0.1457742423015971,9,HET_S1_02_LOW_N8_O09,LOW
(a),HET_S1_02,D1_seed20700713,0.14340289398664127,10,HET_S1_02_LOW_N8_O10,LOW
(a),HET_S1_02,D1_seed20700713,0.14102170233087558,11,HET_S1_02_LOW_N8_O11,LOW
(a),HET_S1_02,D1_seed20700713,0.13863162428578868,12,HET_S1_02_LOW_N8_O12,LOW
(a),HET_S1_02,D1_seed20700713,0.13623361489012825,13,HET_S1_02_LOW_N8_O13,LOW
