panel,lineage,variant,origin,run_id,error,target_RMS,source_RMS
(a),LCDF_01,VARIANT_MAIN,30,D1_seed20600612,0.38543522095543564,0.14261852019480561,0.00215203562118915
(a),LCDF_01,VARIANT_MAIN,31,D1_seed20600612,0.38554782204006866,0.14289678804101089,0.0021470122037933396
(a),LCDF_01,VARIANT_MAIN,26,D1_seed20600612,0.3826657432807802,0.14064876992208356,0.0021842339570892345
(a),LCDF_01,VARIANT_MAIN,0,D1_seed20600612,0.2793277000557978,0.0968821776243109,0.002887135279702624
(a),LCDF_01,VARIANT_MAIN,8,D1_seed20600612,0.3258058748774288,0.11559801797933558,0.002591433216031943
(a),LCDF_01,VARIANT_MAIN,17,D1_seed20600612,0.3630575299818602,0.13131411123480488,0.002333296610550928
(a),LCDF_01,VARIANT_MAIN,12,D1_seed20600612,0.34444341758217045,0.1233286708218191,0.002464197348755729
(a),LCDF_01,VARIANT_MAIN,7,D1_seed20600612,0.3206485442393073,0.11348825992300439,0.002625896504493144
(a),LCDF_01,VARIANT_MAIN,15,D1_seed20600612,0.3562533024208876,0.12835086965799214,0.0023816188308595
(a),LCDF_01,VARIANT_MAIN,25,D1_seed20600612,0.3813956929524061,0.13994364670819012,0.002195415238455323
(a),LCDF_01,VARIANT_MAIN,10,D1_seed20600612,0.33552880037815186,0.11960741459582275,0.002525550958640207
(a),LCDF_01,VARIANT_MAIN,21,D1_seed20600612,0.3740277236086852,0.13628515354811283,0.0022533603946099643
(a),LCDF_01,VARIANT_MAIN,28,D1_seed20600612,0.38451367117662577,0.14180446441542224,0.0021656746150370753
(a),LCDF_01,VARIANT_MAIN,19,D1_seed20600612,0.3689871011620949,0.13396099903548983,0.0022905359529741495
(a),LCDF_01,VARIANT_MAIN,3,D1_seed20600612,0.2981206171618636,0.10437896376101892,0.002771891704970016
(a),LCDF_01,VARIANT_MAIN,2,D1_seed20600612,0.2920309520785412,0.10194093468271706,0.0028099374055137022
(a),LCDF_01,VARIANT_MAIN,14,D1_seed20600612,0.3525282361852065,0.1267528186932265,0.0024078276534041806
(a),LCDF_01,VARIANT_MAIN,23,D1_seed20600612,0.3781672470953703,0.13828097295927808,0.002221699752922158
(a),LCDF_01,VARIANT_MAIN,24,D1_seed20600612,0.3798958928704632,0.13915422246166156,0.002207896060242691
(a),LCDF_01,VARIANT_MAIN,27,D1_seed20600612,0.38370527825068645,0.1412691671292735,0.0021743282857974535
(a),LCDF_01,VARIANT_MAIN,13,D1_seed20600612,0.3485908183566824,0.12507841608359335,0.002435366063976226
(a),LCDF_01,VARIANT_MAIN,5,D1_seed20600612,0.3097576829753261,0.10906497957479976,0.002697453167969648
(a),LCDF_01,VARIANT_MAIN,11,D1_seed20600612,0.34008853654488574,0.12150463728474067,0.0024942766401261467
(a),LCDF_01,VARIANT_MAIN,18,D1_seed20600612,0.3661325907172268,0.13267751613218678,0.002311217160110289
(a),LCDF_01,VARIANT_MAIN,6,D1_seed20600612,0.31529807232393336,0.11131014299800493,0.0026612662864216132
(a),LCDF_01,VARIANT_MAIN,29,D1_seed20600612,0.38509043467441484,0.14225433915277133,0.002158250530461918
(a),LCDF_01,VARIANT_LOW,21,D1_seed20600613,0.279543742460633,0.10221261450048304,0.0013970071230933248
(a),LCDF_01,VARIANT_LOW,10,D1_seed20600613,0.25107303638623546,0.08970472337196658,0.001749882735379505
(a),LCDF_01,VARIANT_LOW,3,D1_seed20600613,0.22329729145366595,0.07828367051047995,0.0020055298322172238
(a),LCDF_01,VARIANT_LOW,14,D1_seed20600613,0.26366943607178733,0.09506361350551965,0.0016101779035508717
(a),LCDF_01,VARIANT_LOW,24,D1_seed20600613,0.2838460396386354,0.10436433259260278,0.001324447991509242
(a),LCDF_01,VARIANT_LOW,15,D1_seed20600613,0.26642598223988684,0.0962621125151282,0.0015768270728496669
(a),LCDF_01,VARIANT_LOW,2,D1_seed20600613,0.21877098942780007,0.07645518718777061,0.0020419188332075266
(a),LCDF_01,VARIANT_LOW,7,D1_seed20600613,0.2400314300463443,0.08511548166759193,0.001858858288949257
(a),LCDF_01,VARIANT_LOW,28,D1_seed20600613,0.2871868143296814,0.10635193238520216,0.0012514943114119428
(a),LCDF_01,VARIANT_LOW,16,D1_seed20600613,0.26902204238925637,0.0974026264568367,0.00154428591761469
(a),LCDF_01,VARIANT_LOW,22,D1_seed20600613,0.28114748577356297,0.10299203792604647,0.0013713091031071491
(a),LCDF_01,VARIANT_LOW,9,D1_seed20600613,0.2475408697049725,0.08822781338271928,0.0017859486631414169
(a),LCDF_01,VARIANT_LOW,30,D1_seed20600613,0.2878209836305837,0.106962447715927,0.0012267699411739482
(a),LCDF_01,VARIANT_LOW,26,D1_seed20600613,0.28586076766208507,0.10548519777572421,0.0012842686887596538
(a),LCDF_01,VARIANT_LOW,11,D1_seed20600613,0.25445396701076184,0.09112759904933894,0.0017141870347428818
(a),LCDF_01,VARIANT_LOW,23,D1_seed20600613,0.28258187293602816,0.10370942137365782,0.001347090519272069
(a),LCDF_01,VARIANT_LOW,4,D1_seed20600613,0.22768909081461663,0.08006500017141395,0.0019689525065454882
(a),LCDF_01,VARIANT_LOW,5,D1_seed20600613,0.23194374177358684,0.08179810303478673,0.001932263042230875
(a),LCDF_01,VARIANT_LOW,31,D1_seed20600613,0.2878780712714495,0.10717113915266088,0.00121759660253287
(a),LCDF_01,VARIANT_LOW,8,D1_seed20600613,0.2438595949837689,0.08669775887915655,0.0018223012590509475
(a),LCDF_01,VARIANT_LOW,12,D1_seed20600613,0.25768162465348377,0.09249558316308595,0.0016789464999369447
(a),LCDF_01,VARIANT_LOW,18,D1_seed20600613,0.2737265456496281,0.09950698581516576,0.0014820037402338525
(a),LCDF_01,VARIANT_LOW,6,D1_seed20600613,0.2360586811859136,0.08348193500717399,0.001895538792900068
(a),LCDF_01,VARIANT_LOW,0,D1_seed20600613,0.20932586367700762,0.07266119341441014,0.002113832988175371
(a),LCDF_01,VARIANT_LOW,27,D1_seed20600613,0.2866101149209932,0.10595047636542258,0.001266913266335544
(a),LCDF_01,VARIANT_LOW,25,D1_seed20600613,0.2849392241266195,0.10495637697119888,0.0013034765511191358
(a),LCDF_01,VARIANT_LOW,20,D1_seed20600613,0.2777716093402753,0.10137162072614492,0.0014240871785619483
(a),LCDF_01,VARIANT_LOW,19,D1_seed20600613,0.2758321542045211,0.10046956332684409,0.0014524517525417
(a),LCDF_01,VARIANT_LOW,13,D1_seed20600613,0.2607540647103683,0.0938078515245742,0.0016442475041153924
(a),LCDF_01,VARIANT_LOW,29,D1_seed20600613,0.2875905183381755,0.10668932393500637,0.0012380897244694523
(a),LCDF_01,VARIANT_LOW,17,D1_seed20600613,0.27145605236936676,0.09848446816405408,0.0015126468536785158
(a),LCDF_01,VARIANT_LOW,1,D1_seed20600613,0.2141129114727896,0.07458065173489799,0.002078044494519059
(a),LCDF_01,VARIANT_MAIN,1,D1_seed20600613,0.2854854187532258,0.09944150402697008,0.0028483895433308636
(a),LCDF_01,VARIANT_MAIN,22,D1_seed20600613,0.37486746293628576,0.13732442449225782,0.0022368481011910773
