step,gc_collected,watched_tensor_reference_count,alive_tensor_reference_count,age0_alive_tensor_reference_count,age1_alive_tensor_reference_count,age2_alive_tensor_reference_count,old_survivor_storage_count,old_survivor_bytes,old_survivor_slot_count,same_slot_multiple_generation_count
175,False,960,8,8,0,0,0,0,0,0
175,True,960,8,8,0,0,0,0,0,0
176,False,192,8,8,0,0,0,0,0,0
177,False,224,8,8,0,0,0,0,0,0
178,False,256,8,8,0,0,0,0,0,0
179,False,288,8,8,0,0,0,0,0,0
180,False,320,8,8,0,0,0,0,0,0
181,False,352,8,8,0,0,0,0,0,0
182,False,384,8,8,0,0,0,0,0,0
183,False,416,8,8,0,0,0,0,0,0
184,False,448,8,8,0,0,0,0,0,0
185,False,480,8,8,0,0,0,0,0,0
186,False,512,8,8,0,0,0,0,0,0
187,False,544,8,8,0,0,0,0,0,0
188,False,576,8,8,0,0,0,0,0,0
189,False,608,8,8,0,0,0,0,0,0
190,False,640,8,8,0,0,0,0,0,0
191,False,672,8,8,0,0,0,0,0,0
192,False,704,8,8,0,0,0,0,0,0
193,False,736,8,8,0,0,0,0,0,0
194,False,768,8,8,0,0,0,0,0,0
195,False,800,8,8,0,0,0,0,0,0
196,False,832,8,8,0,0,0,0,0,0
197,False,864,8,8,0,0,0,0,0,0
198,False,896,8,8,0,0,0,0,0,0
199,False,928,8,8,0,0,0,0,0,0
200,False,960,8,8,0,0,0,0,0,0
200,True,960,8,8,0,0,0,0,0,0
201,False,192,8,8,0,0,0,0,0,0
202,False,224,8,8,0,0,0,0,0,0
203,False,256,8,8,0,0,0,0,0,0
204,False,288,8,8,0,0,0,0,0,0
205,False,320,8,8,0,0,0,0,0,0
206,False,352,8,8,0,0,0,0,0,0
207,False,384,8,8,0,0,0,0,0,0
208,False,416,8,8,0,0,0,0,0,0
209,False,448,8,8,0,0,0,0,0,0
210,False,480,8,8,0,0,0,0,0,0
211,False,512,8,8,0,0,0,0,0,0
212,False,544,8,8,0,0,0,0,0,0
213,False,576,8,8,0,0,0,0,0,0
214,False,608,8,8,0,0,0,0,0,0
215,False,640,8,8,0,0,0,0,0,0
216,False,672,8,8,0,0,0,0,0,0
217,False,704,8,8,0,0,0,0,0,0
218,False,736,8,8,0,0,0,0,0,0
219,False,768,8,8,0,0,0,0,0,0
220,False,800,8,8,0,0,0,0,0,0
221,False,832,8,8,0,0,0,0,0,0
222,False,864,8,8,0,0,0,0,0,0
223,False,896,8,8,0,0,0,0,0,0
224,False,928,8,8,0,0,0,0,0,0
225,False,960,8,8,0,0,0,0,0,0
225,True,960,8,8,0,0,0,0,0,0
226,False,192,8,8,0,0,0,0,0,0
227,False,224,8,8,0,0,0,0,0,0
228,False,256,8,8,0,0,0,0,0,0
229,False,288,8,8,0,0,0,0,0,0
230,False,320,8,8,0,0,0,0,0,0
231,False,352,8,8,0,0,0,0,0,0
232,False,384,8,8,0,0,0,0,0,0
233,False,416,8,8,0,0,0,0,0,0
234,False,448,8,8,0,0,0,0,0,0
235,False,480,8,8,0,0,0,0,0,0
236,False,512,8,8,0,0,0,0,0,0
237,False,544,8,8,0,0,0,0,0,0
238,False,576,8,8,0,0,0,0,0,0
239,False,608,8,8,0,0,0,0,0,0
240,False,640,8,8,0,0,0,0,0,0
241,False,672,8,8,0,0,0,0,0,0
242,False,704,8,8,0,0,0,0,0,0
243,False,736,8,8,0,0,0,0,0,0
244,False,768,8,8,0,0,0,0,0,0
245,False,800,8,8,0,0,0,0,0,0
246,False,832,8,8,0,0,0,0,0,0
247,False,864,8,8,0,0,0,0,0,0
248,False,896,8,8,0,0,0,0,0,0
