label,solution,time,density_absolute_linf,density_relative_linf,pressure_absolute_linf,pressure_relative_linf,pressure_acceleration_absolute_linf,pressure_acceleration_relative_linf,viscosity_acceleration_absolute_linf,viscosity_acceleration_relative_linf,source_absolute_linf,source_relative_linf,total_acceleration_absolute_linf,total_acceleration_relative_linf,dx_dt_absolute_linf,dx_dt_relative_linf,dv_dt_absolute_linf,dv_dt_relative_linf,finite
edge_switch_16_before,MMS_B,0.006660614780471086,0.0,0.0,0.0,0.0,3.941291737419306e-15,1.638655937956414e-15,2.3592239273284576e-16,6.658591449449568e-16,0.0,0.0,3.9968028886505635e-15,1.886734344434778e-15,0.0,0.0,3.9968028886505635e-15,1.886734344434778e-15,True
edge_switch_16_after,MMS_B,0.0066606148004710874,0.0,0.0,0.0,0.0,2.886579864025407e-15,1.200142376801044e-15,2.7755575615628914e-16,7.833636999364232e-16,0.0,0.0,2.886579864025407e-15,1.3626414710606717e-15,0.0,0.0,2.886579864025407e-15,1.3626414710606717e-15,True
edge_switch_17_before,MMS_B,0.006685326596268224,0.0,0.0,0.0,0.0,2.886579864025407e-15,1.1997789791468942e-15,2.220446049250313e-16,6.266921246580728e-16,0.0,0.0,2.886579864025407e-15,1.362737235289449e-15,0.0,0.0,2.886579864025407e-15,1.362737235289449e-15,True
edge_switch_17_after,MMS_B,0.006685326616268225,0.0,0.0,0.0,0.0,2.0539125955565396e-15,8.536888887989406e-16,2.220446049250313e-16,6.266921246590134e-16,0.0,0.0,2.220446049250313e-15,1.0482594118189382e-15,0.0,0.0,2.220446049250313e-15,1.0482594118189382e-15,True
edge_switch_18_before,MMS_B,0.0062133793377333645,0.0,0.0,0.0,0.0,2.886579864025407e-15,1.206467249259813e-15,2.220446049250313e-16,6.266689764831856e-16,0.0,0.0,3.1086244689504383e-15,1.4646282125301532e-15,0.0,0.0,3.1086244689504383e-15,1.4646282125301532e-15,True
edge_switch_18_after,MMS_B,0.006213379357733365,0.0,0.0,0.0,0.0,1.942890293094024e-15,8.12045263741358e-16,2.7755575615628914e-16,7.833362206052591e-16,0.0,0.0,1.9984014443252818e-15,9.41546708162741e-16,0.0,0.0,1.9984014443252818e-15,9.41546708162741e-16,True
edge_switch_19_before,MMS_B,0.006752035701114585,0.0,0.0,0.0,0.0,2.7755575615628914e-15,1.1526834756716007e-15,2.3592239273284576e-16,6.658636953180027e-16,0.0,0.0,2.7755575615628914e-15,1.3105478091549872e-15,0.0,0.0,2.7755575615628914e-15,1.3105478091549872e-15,True
edge_switch_19_after,MMS_B,0.006752035721114585,0.0,0.0,0.0,0.0,2.7200464103316335e-15,1.1296298058773875e-15,3.0531133177191805e-16,8.617059586481037e-16,0.0,0.0,2.6645352591003757e-15,1.2581258968479926e-15,0.0,0.0,2.6645352591003757e-15,1.2581258968479926e-15,True
edge_switch_20_before,MMS_B,0.0062133793377333645,0.0,0.0,0.0,0.0,2.886579864025407e-15,1.206467249259813e-15,2.220446049250313e-16,6.266689764831856e-16,0.0,0.0,3.1086244689504383e-15,1.4646282125301532e-15,0.0,0.0,3.1086244689504383e-15,1.4646282125301532e-15,True
edge_switch_20_after,MMS_B,0.006213379357733365,0.0,0.0,0.0,0.0,1.942890293094024e-15,8.12045263741358e-16,2.7755575615628914e-16,7.833362206052591e-16,0.0,0.0,1.9984014443252818e-15,9.41546708162741e-16,0.0,0.0,1.9984014443252818e-15,9.41546708162741e-16,True
edge_switch_21_before,MMS_B,0.006664885901422828,0.0,0.0,0.0,0.0,2.942091015256665e-15,1.2231581266276718e-15,1.942890293094024e-16,5.483547664239136e-16,0.0,0.0,3.1086244689504383e-15,1.4674782715034551e-15,0.0,0.0,3.1086244689504383e-15,1.4674782715034551e-15,True
edge_switch_21_after,MMS_B,0.0066648859214228275,0.0,0.0,0.0,0.0,2.831068712794149e-15,1.17700121590087e-15,2.7755575615628914e-16,7.833639520353429e-16,0.0,0.0,2.6645352591003757e-15,1.2578385185043367e-15,0.0,0.0,2.6645352591003757e-15,1.2578385185043367e-15,True
edge_switch_22_before,MMS_B,0.006660614780470057,0.0,0.0,0.0,0.0,3.1086244689504383e-15,1.2924610214865763e-15,2.220446049250313e-16,6.266909599481942e-16,0.0,0.0,2.886579864025407e-15,1.3626414709805592e-15,0.0,0.0,2.886579864025407e-15,1.3626414709805592e-15,True
edge_switch_22_after,MMS_B,0.006660614800470058,0.0,0.0,0.0,0.0,4.496403249731884e-15,1.8694525484786786e-15,2.220446049250313e-16,6.26690959949139e-16,0.0,0.0,4.440892098500626e-15,2.0963714939393737e-15,0.0,0.0,4.440892098500626e-15,2.0963714939393737e-15,True
