particle_i,particle_j,time_before,time_after,estimated_event_time,ratio_before,ratio_after,added,reciprocal,evaluation_ratio_before,evaluation_ratio_after,directed_edge_before,reverse_edge_before,directed_edge_after,reverse_edge_after,pressure_before_l2,pressure_after_l2,viscosity_before_l2,viscosity_after_l2,pair_total_max_l2,aggregated_rhs_jump_linf
1,193,0.007,0.008,0.007831590781446173,0.9983840179709841,1.000327318249817,False,True,0.9999999999805647,1.0000000000194351,True,True,False,False,1.1592728599556651e-53,0.0,8.973627068514239e-54,0.0,2.0154504284316995e-53,6.441820410429955e-10
3,255,0.007,0.008,0.007313853638417709,1.0006431867040744,0.9985942256227506,True,True,1.0000000000204923,0.9999999999795084,False,False,True,True,0.0,6.975090252611953e-53,0.0,1.2677176253071531e-53,8.129199172007307e-53,6.591456269688933e-10
7,198,0.007,0.008,0.007778338595624205,1.0015055032741091,0.9995712624481339,True,True,1.0000000000193414,0.9999999999806574,False,False,True,True,0.0,1.7968332532340913e-53,0.0,8.121879194155343e-54,1.0046828698013415e-53,6.379119454891224e-10
7,200,0.007,0.008,0.007313853638417709,1.0006431867040744,0.9985942256227504,True,True,1.0000000000204918,0.9999999999795082,False,False,True,True,0.0,6.9781409379214765e-53,0.0,1.2682720851656975e-53,8.132754628296956e-53,6.591456269688933e-10
8,199,0.007,0.008,0.007294697357969107,1.0006071122669444,0.9985473447290836,True,True,1.0000000000205997,0.9999999999794006,False,False,True,True,0.0,1.1932947511563548e-53,0.0,1.3013284587200645e-53,2.431252120051619e-53,6.612297376307197e-10
8,201,0.007,0.008,0.007785892428307269,1.0015173261039487,0.9995866341721332,True,True,1.0000000000193068,0.9999999999806937,False,False,True,True,0.0,7.818070221577915e-53,0.0,8.058565156598533e-54,8.612554669422615e-53,6.389080375868161e-10
12,240,0.007,0.008,0.007294697357969107,1.0006071122669438,0.998547344729084,True,True,1.0000000000205997,0.9999999999794004,False,False,True,True,0.0,1.193816584672325e-53,0.0,1.3018975358867554e-53,2.4323153182530402e-53,6.612297376307197e-10
14,206,0.007,0.008,0.00785114938345587,0.9983536109662662,1.0002879778148699,False,True,0.9999999999806536,1.0000000000193456,True,True,False,False,7.2270051474128005e-53,0.0,8.785077772663698e-54,0.0,6.432902391984926e-53,6.462719248645499e-10
15,19,0.007,0.008,0.00778589242830714,1.0015173261039485,0.9995866341721326,True,True,1.0000000000193066,0.9999999999806941,False,False,True,True,0.0,7.817171096746153e-53,0.0,8.057638373413771e-54,8.611564174128183e-53,6.389284656904692e-10
15,243,0.007,0.008,0.007294697357969107,1.0006071122669438,0.998547344729084,True,True,1.0000000000205997,0.9999999999794004,False,False,True,True,0.0,1.193359066193853e-53,0.0,1.3013985964516667e-53,2.4313831573075145e-53,6.612297376307197e-10
20,24,0.007,0.008,0.007851149383455163,0.9983536109662672,1.0002879778148712,False,True,0.9999999999806536,1.0000000000193456,True,True,False,False,7.21521803268043e-53,0.0,8.770749469642646e-54,0.0,6.422410444489999e-53,6.46351416833113e-10
23,27,0.007,0.008,0.007831590781446275,0.9983840179709841,1.000327318249817,False,True,0.9999999999805647,1.0000000000194353,True,True,False,False,1.1592728599570607e-53,0.0,8.973627068514157e-54,0.0,2.0154504284330633e-53,6.440008526453767e-10
49,241,0.007,0.008,0.00785114938345587,0.9983536109662662,1.0002879778148699,False,True,0.9999999999806536,1.0000000000193456,True,True,False,False,7.215218032673096e-53,0.0,8.77074946964259e-54,0.0,6.422410444482682e-53,6.462719248645499e-10
54,247,0.007,0.008,0.007785892428307269,1.0015173261039487,0.9995866341721334,True,True,1.0000000000193068,0.9999999999806939,False,False,True,True,0.0,7.806242838836318e-53,0.0,8.046373946779011e-54,8.599525369663062e-53,6.389080375868161e-10
55,248,0.007,0.008,0.007313853638417709,1.0006431867040744,0.9985942256227504,True,True,1.0000000000204923,0.9999999999795082,False,False,True,True,0.0,6.975468166983855e-53,0.0,1.267786310974497e-53,8.129639616661811e-53,6.591456269688933e-10
56,247,0.007,0.008,0.007294697357969107,1.0006071122669444,0.9985473447290836,True,True,1.0000000000205997,0.9999999999794004,False,False,True,True,0.0,1.1938165846641225e-53,0.0,1.301897535886756e-53,2.4323153182450673e-53,6.612297376307197e-10
57,248,0.007,0.008,0.007778338595624205,1.0015055032741091,0.9995712624481339,True,True,1.0000000000193414,0.9999999999806574,False,False,True,True,0.0,1.7994555092231882e-53,0.0,8.133732072722428e-54,1.0061490802402296e-53,6.379119454891224e-10
62,254,0.007,0.008,0.007831590781446173,0.9983840179709841,1.000327318249817,False,True,0.9999999999805642,1.0000000000194351,True,True,False,False,1.161301438468351e-53,0.0,8.989329762559773e-54,0.0,2.0189772076500219e-53,6.441820410429955e-10
64,143,0.007,0.008,0.007313853638418032,1.0006431867040748,0.9985942256227508,True,True,1.0000000000204918,0.9999999999795088,False,False,True,True,0.0,6.974334472961596e-53,0.0,1.267580262903403e-53,8.128318339922449e-53,6.59901910893268e-10
65,128,0.007,0.008,0.007785892428306273,1.0015173261039463,0.9995866341721312,True,True,1.0000000000193066,0.9999999999806934,False,False,True,True,0.0,7.8071406963759595e-53,0.0,8.047299423693467e-54,8.600514468881723e-53,6.38872954539238e-10
70,134,0.007,0.008,0.007851149383455306,0.998353610966267,1.0002879778148708,False,True,0.9999999999806536,1.0000000000193456,True,True,False,False,7.215218032688701e-53,0.0,8.770749469642544e-54,0.0,6.42241044449826e-53,6.462328450140831e-10
73,137,0.007,0.008,0.007831590781446266,0.9983840179709841,1.000327318249817,False,True,0.9999999999805647,1.0000000000194356,True,True,False,False,1.1611687713671336e-53,0.0,8.988302821364379e-54,0.0,2.0187465596534067e-53,6.438498623140276e-10
78,143,0.007,0.008,0.007778338595624726,1.00150550327411,0.9995712624481352,True,True,1.0000000000193425,0.999999999980658,False,False,True,True,0.0,1.7991456767366132e-53,0.0,8.13233159657462e-54,1.005975840245389e-53,6.379106132214929e-10
79,128,0.007,0.008,0.007294697357968839,1.0006071122669433,0.9985473447290831,True,True,1.0000000000205997,0.9999999999794004,False,False,True,True,0.0,1.1938165846590699e-53,0.0,1.3018975358867554e-53,2.432315318240152e-53,6.612244085602015e-10
96,108,0.007,0.008,0.007831590781446173,0.9983840179709841,1.000327318249817,False,True,0.9999999999805647,1.0000000000194351,True,True,False,False,1.1592728599499966e-53,0.0,8.973627068514261e-54,0.0,2.01545042842612e-53,6.441820410429955e-10
99,111,0.007,0.008,0.00785114938345587,0.9983536109662662,1.0002879778148699,False,True,0.9999999999806536,1.0000000000193456,True,True,False,False,7.215218032679527e-53,0.0,8.770749469642469e-54,0.0,6.422410444489106e-53,6.462719248645499e-10
100,120,0.007,0.008,0.007785892428306327,1.0015173261039465,0.9995866341721314,True,True,1.0000000000193068,0.9999999999806937,False,False,True,True,0.0,7.806691757285674e-53,0.0,8.046836674592168e-54,8.600019907902542e-53,6.388471973650667e-10
107,119,0.007,0.008,0.007778338595624701,1.0015055032741096,0.9995712624481348,True,True,1.0000000000193423,0.9999999999806576,False,False,True,True,0.0,1.7993522269890847e-53,0.0,8.133265225903578e-54,1.0060913309274092e-53,6.37951913518009e-10
112,177,0.007,0.008,0.00777833859562469,1.00150550327411,0.9995712624481352,True,True,1.0000000000193425,0.9999999999806578,False,False,True,True,0.0,1.796626994516533e-53,0.0,8.120946882547685e-54,1.0045675421329671e-53,6.379767825137606e-10
112,191,0.007,0.008,0.007313853638418032,1.0006431867040748,0.9985942256227508,True,True,1.0000000000204918,0.9999999999795088,False,False,True,True,0.0,6.97700680950603e-53,0.0,1.2680659581437382e-53,8.131432845288852e-53,6.59901910893268e-10
116,136,0.007,0.008,0.007313853638418032,1.0006431867040748,0.9985942256227508,True,True,1.0000000000204918,0.9999999999795088,False,False,True,True,0.0,6.974334472955468e-53,0.0,1.2675802629034028e-53,8.128318339916339e-53,6.59901910893268e-10
118,182,0.007,0.008,0.007831590781446275,0.9983840179709841,1.000327318249817,False,True,0.9999999999805647,1.0000000000194353,True,True,False,False,1.1592728599523382e-53,0.0,8.973627068514173e-54,0.0,2.0154504284284145e-53,6.440008526453767e-10
119,139,0.007,0.008,0.007313853638418032,1.0006431867040748,0.9985942256227508,True,True,1.0000000000204918,0.9999999999795086,False,False,True,True,0.0,6.977384835918112e-53,0.0,1.2681346641729637e-53,8.131873420520635e-53,6.59901910893268e-10
120,132,0.007,0.008,0.007294697357968856,1.0006071122669435,0.9985473447290831,True,True,1.0000000000205997,0.9999999999794006,False,False,True,True,0.0,1.193294751145629e-53,0.0,1.3013284587200663e-53,2.431252120041192e-53,6.619940151608716e-10
121,185,0.007,0.008,0.007851149383455247,0.9983536109662672,1.000287977814871,False,True,0.9999999999806536,1.0000000000193456,True,True,False,False,7.227005147424744e-53,0.0,8.785077772663678e-54,0.0,6.432902391996846e-53,6.460547652409332e-10
123,135,0.007,0.008,0.007294697357968856,1.0006071122669435,0.9985473447290831,True,True,1.0000000000205997,0.9999999999794004,False,False,True,True,0.0,1.1938165846596993e-53,0.0,1.3018975358867566e-53,2.4323153182407665e-53,6.619940151608716e-10
127,176,0.007,0.008,0.007294697357968856,1.0006071122669433,0.9985473447290831,True,True,1.0000000000205995,0.9999999999794001,False,False,True,True,0.0,1.1934233839974912e-53,0.0,1.3014687372074134e-53,2.431514200206619e-53,6.611866609773642e-10
127,190,0.007,0.008,0.007785892428306273,1.0015173261039463,0.9995866341721312,True,True,1.0000000000193063,0.9999999999806937,False,False,True,True,0.0,7.818070221576096e-53,0.0,8.058565156598463e-54,8.612554669420788e-53,6.38872954539238e-10
135,155,0.007,0.008,0.007785892428306327,1.0015173261039465,0.9995866341721314,True,True,1.0000000000193068,0.9999999999806941,False,False,True,True,0.0,7.817171096750714e-53,0.0,8.057638373413702e-54,8.611564174132738e-53,6.388471973650667e-10
136,148,0.007,0.008,0.007778338595624645,1.0015055032741096,0.9995712624481348,True,True,1.0000000000193423,0.9999999999806576,False,False,True,True,0.0,1.7967301215075398e-53,0.0,8.121413027648897e-54,1.0046252046432387e-53,6.380225237023751e-10
144,156,0.007,0.008,0.00785114938345587,0.9983536109662662,1.0002879778148699,False,True,0.9999999999806536,1.0000000000193456,True,True,False,False,7.227005147416491e-53,0.0,8.785077772663608e-54,0.0,6.432902391988613e-53,6.462719248645499e-10
147,159,0.007,0.008,0.007831590781446173,0.9983840179709841,1.000327318249817,False,True,0.9999999999805642,1.0000000000194351,True,True,False,False,1.1613014384621937e-53,0.0,8.989329762559768e-54,0.0,2.0189772076439592e-53,6.441820410429955e-10
227,255,0.007,0.008,0.007778338595624326,1.0015055032741094,0.9995712624481345,True,True,1.0000000000193423,0.999999999980658,False,False,True,True,0.0,1.7991456767315288e-53,0.0,8.132331596574638e-54,1.0059758402403482e-53,6.382334660770539e-10
228,232,0.007,0.008,0.007831590781446207,0.9983840179709841,1.000327318249817,False,True,0.9999999999805644,1.0000000000194353,True,True,False,False,1.1612351034015988e-53,0.0,8.988816280229563e-54,0.0,2.018861881016173e-53,6.438400923514109e-10
231,235,0.007,0.008,0.007851149383455163,0.9983536109662672,1.0002879778148712,False,True,0.9999999999806536,1.0000000000193456,True,True,False,False,7.227005147418306e-53,0.0,8.785077772663773e-54,0.0,6.432902391990415e-53,6.46351416833113e-10
236,240,0.007,0.008,0.00778589242830714,1.0015173261039487,0.9995866341721328,True,True,1.0000000000193066,0.9999999999806941,False,False,True,True,0.0,7.805793941039903e-53,0.0,8.045911240253076e-54,8.599030854175205e-53,6.389284656904692e-10
3,31,0.008,0.009000000000000001,0.008038888066342238,1.000072432219588,0.9982109581041203,True,True,1.0000000000186258,0.9999999999813745,False,False,True,True,0.0,3.1848783842683503e-53,0.0,8.249944484815032e-54,3.8599366746412137e-53,7.593055073584765e-10
6,199,0.008,0.009000000000000001,0.008077764129597442,1.000143420838622,0.9983002097744853,True,True,1.0000000000184424,0.9999999999815579,False,False,True,True,0.0,1.7779094270294871e-53,0.0,7.851592773999758e-54,2.433493429160585e-53,7.548832670067895e-10
9,200,0.008,0.009000000000000001,0.008038888066342238,1.0000724322195877,0.9982109581041205,True,True,1.0000000000186253,0.9999999999813747,False,False,True,True,0.0,3.1870755443582208e-53,0.0,8.255635894856151e-54,3.862599538899117e-53,7.593055073584765e-10
