step,gc_collected,watched_tensor_reference_count,alive_tensor_reference_count,age0_alive_tensor_reference_count,age1_alive_tensor_reference_count,age2_alive_tensor_reference_count,old_survivor_storage_count,old_survivor_bytes,old_survivor_slot_count,same_slot_multiple_generation_count
236,False,5792,3560,32,18,15,0,0,0,0
237,False,5824,3558,18,15,15,0,0,0,0
238,False,5856,3590,32,18,15,0,0,0,0
239,False,5888,3588,18,15,15,0,0,0,0
240,False,5920,3620,32,18,15,0,0,0,0
241,False,5952,3618,18,15,15,0,0,0,0
242,False,5984,3650,32,18,15,0,0,0,0
243,False,6016,3648,18,15,15,0,0,0,0
244,False,6048,3680,32,18,15,0,0,0,0
245,False,6080,3678,18,15,15,0,0,0,0
246,False,6112,3710,32,18,15,0,0,0,0
247,False,6144,3708,18,15,15,0,0,0,0
248,False,6176,3740,32,18,15,0,0,0,0
249,False,6208,3738,18,15,15,0,0,0,0
250,False,6240,3770,32,18,15,0,0,0,0
250,True,6240,3753,18,15,15,0,0,0,0
251,False,6072,3785,32,18,15,0,0,0,0
252,False,6104,3783,18,15,15,0,0,0,0
253,False,6136,3815,32,18,15,0,0,0,0
254,False,6168,3813,18,15,15,0,0,0,0
255,False,6200,3845,32,18,15,0,0,0,0
256,False,6232,3843,18,15,15,0,0,0,0
257,False,6264,3875,32,18,15,0,0,0,0
258,False,6296,3873,18,15,15,0,0,0,0
259,False,6328,3905,32,18,15,0,0,0,0
260,False,6360,3903,18,15,15,0,0,0,0
261,False,6392,3935,32,18,15,0,0,0,0
262,False,6424,3933,18,15,15,0,0,0,0
263,False,6456,3965,32,18,15,0,0,0,0
264,False,6488,3963,18,15,15,0,0,0,0
265,False,6520,3995,32,18,15,0,0,0,0
266,False,6552,3993,18,15,15,0,0,0,0
267,False,6584,4025,32,18,15,0,0,0,0
268,False,6616,4023,18,15,15,0,0,0,0
269,False,6648,4055,32,18,15,0,0,0,0
270,False,6680,4053,18,15,15,0,0,0,0
271,False,6712,4085,32,18,15,0,0,0,0
272,False,6744,4083,18,15,15,0,0,0,0
273,False,6776,4115,32,18,15,0,0,0,0
274,False,6808,4113,18,15,15,0,0,0,0
275,False,6840,4145,32,18,15,0,0,0,0
275,True,6840,4128,18,15,15,0,0,0,0
276,False,6672,4160,32,18,15,0,0,0,0
277,False,6704,4158,18,15,15,0,0,0,0
278,False,6736,4190,32,18,15,0,0,0,0
279,False,6768,4188,18,15,15,0,0,0,0
280,False,6800,4220,32,18,15,0,0,0,0
281,False,6832,4218,18,15,15,0,0,0,0
282,False,6864,4250,32,18,15,0,0,0,0
283,False,6896,4248,18,15,15,0,0,0,0
284,False,6928,4280,32,18,15,0,0,0,0
285,False,6960,4278,18,15,15,0,0,0,0
286,False,6992,4310,32,18,15,0,0,0,0
287,False,7024,4308,18,15,15,0,0,0,0
288,False,7056,4340,32,18,15,0,0,0,0
289,False,7088,4338,18,15,15,0,0,0,0
290,False,7120,4370,32,18,15,0,0,0,0
291,False,7152,4368,18,15,15,0,0,0,0
292,False,7184,4400,32,18,15,0,0,0,0
293,False,7216,4398,18,15,15,0,0,0,0
294,False,7248,4430,32,18,15,0,0,0,0
295,False,7280,4428,18,15,15,0,0,0,0
296,False,7312,4460,32,18,15,0,0,0,0
297,False,7344,4458,18,15,15,0,0,0,0
298,False,7376,4490,32,18,15,0,0,0,0
299,False,7408,4488,18,15,15,0,0,0,0
300,False,7440,4520,32,18,15,0,0,0,0
300,True,7440,4503,18,15,15,0,0,0,0
301,False,7272,4535,32,18,15,0,0,0,0
302,False,7304,4533,18,15,15,0,0,0,0
303,False,7336,4565,32,18,15,0,0,0,0
304,False,7368,4563,18,15,15,0,0,0,0
305,False,7400,4595,32,18,15,0,0,0,0
306,False,7432,4593,18,15,15,0,0,0,0
307,False,7464,4625,32,18,15,0,0,0,0
308,False,7496,4623,18,15,15,0,0,0,0
309,False,7528,4655,32,18,15,0,0,0,0
310,False,7560,4653,18,15,15,0,0,0,0
311,False,7592,4685,32,18,15,0,0,0,0
312,False,7624,4683,18,15,15,0,0,0,0
313,False,7656,4715,32,18,15,0,0,0,0
314,False,7688,4713,18,15,15,0,0,0,0
315,False,7720,4745,32,18,15,0,0,0,0
316,False,7752,4743,18,15,15,0,0,0,0
317,False,7784,4775,32,18,15,0,0,0,0
318,False,7816,4773,18,15,15,0,0,0,0
319,False,7848,4805,32,18,15,0,0,0,0
320,False,7880,4803,18,15,15,0,0,0,0
321,False,7912,4835,32,18,15,0,0,0,0
322,False,7944,4833,18,15,15,0,0,0,0
323,False,7976,4865,32,18,15,0,0,0,0
324,False,8008,4863,18,15,15,0,0,0,0
325,False,8040,4895,32,18,15,0,0,0,0
325,True,8040,4878,18,15,15,0,0,0,0
326,False,7872,4910,32,18,15,0,0,0,0
327,False,7904,4908,18,15,15,0,0,0,0
328,False,7936,4940,32,18,15,0,0,0,0
329,False,7968,4938,18,15,15,0,0,0,0
330,False,8000,4970,32,18,15,0,0,0,0
331,False,8032,4968,18,15,15,0,0,0,0
332,False,8064,5000,32,18,15,0,0,0,0
333,False,8096,4998,18,15,15,0,0,0,0
334,False,8128,5030,32,18,15,0,0,0,0
335,False,8160,5028,18,15,15,0,0,0,0
336,False,8192,5060,32,18,15,0,0,0,0
337,False,8224,5058,18,15,15,0,0,0,0
338,False,8256,5090,32,18,15,0,0,0,0
339,False,8288,5088,18,15,15,0,0,0,0
340,False,8320,5120,32,18,15,0,0,0,0
341,False,8352,5118,18,15,15,0,0,0,0
342,False,8384,5150,32,18,15,0,0,0,0
343,False,8416,5148,18,15,15,0,0,0,0
344,False,8448,5180,32,18,15,0,0,0,0
345,False,8480,5178,18,15,15,0,0,0,0
346,False,8512,5210,32,18,15,0,0,0,0
347,False,8544,5208,18,15,15,0,0,0,0
348,False,8576,5240,32,18,15,0,0,0,0
349,False,8608,5238,18,15,15,0,0,0,0
350,False,8640,5270,32,18,15,0,0,0,0
350,True,8640,5253,18,15,15,0,0,0,0
351,False,8472,5285,32,18,15,0,0,0,0
352,False,8504,5283,18,15,15,0,0,0,0
353,False,8536,5315,32,18,15,0,0,0,0
354,False,8568,5313,18,15,15,0,0,0,0
355,False,8600,5345,32,18,15,0,0,0,0
356,False,8632,5343,18,15,15,0,0,0,0
357,False,8664,5375,32,18,15,0,0,0,0
358,False,8696,5373,18,15,15,0,0,0,0
359,False,8728,5405,32,18,15,0,0,0,0
360,False,8760,5403,18,15,15,0,0,0,0
361,False,8792,5435,32,18,15,0,0,0,0
362,False,8824,5433,18,15,15,0,0,0,0
363,False,8856,5465,32,18,15,0,0,0,0
364,False,8888,5463,18,15,15,0,0,0,0
365,False,8920,5495,32,18,15,0,0,0,0
366,False,8952,5493,18,15,15,0,0,0,0
367,False,8984,5525,32,18,15,0,0,0,0
368,False,9016,5523,18,15,15,0,0,0,0
369,False,9048,5555,32,18,15,0,0,0,0
370,False,9080,5553,18,15,15,0,0,0,0
371,False,9112,5585,32,18,15,0,0,0,0
372,False,9144,5583,18,15,15,0,0,0,0
373,False,9176,5615,32,18,15,0,0,0,0
374,False,9208,5613,18,15,15,0,0,0,0
375,False,9240,5645,32,18,15,0,0,0,0
375,True,9240,5628,18,15,15,0,0,0,0
376,False,9072,5660,32,18,15,0,0,0,0
377,False,9104,5658,18,15,15,0,0,0,0
378,False,9136,5690,32,18,15,0,0,0,0
379,False,9168,5688,18,15,15,0,0,0,0
380,False,9200,5720,32,18,15,0,0,0,0
381,False,9232,5718,18,15,15,0,0,0,0
382,False,9264,5750,32,18,15,0,0,0,0
383,False,9296,5748,18,15,15,0,0,0,0
384,False,9328,5780,32,18,15,0,0,0,0
385,False,9360,5778,18,15,15,0,0,0,0
386,False,9392,5810,32,18,15,0,0,0,0
387,False,9424,5808,18,15,15,0,0,0,0
388,False,9456,5840,32,18,15,0,0,0,0
389,False,9488,5838,18,15,15,0,0,0,0
390,False,9520,5870,32,18,15,0,0,0,0
391,False,9552,5868,18,15,15,0,0,0,0
392,False,9584,5900,32,18,15,0,0,0,0
393,False,9616,5898,18,15,15,0,0,0,0
394,False,9648,5930,32,18,15,0,0,0,0
395,False,9680,5928,18,15,15,0,0,0,0
396,False,9712,5960,32,18,15,0,0,0,0
397,False,9744,5958,18,15,15,0,0,0,0
398,False,9776,5990,32,18,15,0,0,0,0
399,False,9808,5988,18,15,15,0,0,0,0
400,False,9840,6020,32,18,15,0,0,0,0
400,True,9840,6003,18,15,15,0,0,0,0
401,False,9672,6035,32,18,15,0,0,0,0
402,False,9704,6033,18,15,15,0,0,0,0
403,False,9736,6065,32,18,15,0,0,0,0
404,False,9768,6063,18,15,15,0,0,0,0
405,False,9800,6095,32,18,15,0,0,0,0
406,False,9832,6093,18,15,15,0,0,0,0
407,False,9864,6125,32,18,15,0,0,0,0
408,False,9896,6123,18,15,15,0,0,0,0
409,False,9928,6155,32,18,15,0,0,0,0
410,False,9960,6153,18,15,15,0,0,0,0
411,False,9992,6185,32,18,15,0,0,0,0
412,False,10024,6183,18,15,15,0,0,0,0
413,False,10056,6215,32,18,15,0,0,0,0
414,False,10088,6213,18,15,15,0,0,0,0
415,False,10120,6245,32,18,15,0,0,0,0
416,False,10152,6243,18,15,15,0,0,0,0
417,False,10184,6275,32,18,15,0,0,0,0
