resolution,particle_count,layout,jitter_fraction,force_type,state_case,density_perturbation,pair_force_residual_l2,pair_force_residual_linf,total_internal_force,characteristic_normalized_internal_force,total_internal_torque,viscous_power,density_offset,density_amplitude,minimum_pressure,maximum_pressure
16,256,jitter_05,0.05,Antuono_pressure,all_positive_pressure,,2.781168406684742e-09,2.7939677238464355e-08,4.633233743334131e-07,7.708904803394034e-08,,,1.01,0.005,0.5312442779541016,1.4688968658447266
16,256,jitter_05,0.05,Antuono_pressure,mixed_sign_pressure,,0.001271217712201178,0.008082198910415173,0.03287799656391144,0.005242525599896908,,,1.0,0.005,-0.46875476837158203,0.46889781951904297
24,576,jitter_05,0.05,physical_nu_laplacian,uniform_density,0.0,2.8779945093759807e-10,3.958120942115784e-09,4.574159362391583e-08,4.652476626176849e-09,-0.0003889133222401142,-2.975682258605957,,,,
24,576,jitter_05,0.05,physical_nu_laplacian,density_perturbation_05,0.05,9.83560130407568e-06,6.37576449662447e-05,0.07453292608261108,0.007572106551378965,-0.0003140750341117382,-2.977264165878296,,,,
24,576,jitter_05,0.05,Antuono_pressure,all_positive_pressure,,2.666480369839519e-09,2.3283064365386963e-08,3.285866512214852e-07,4.689577082217511e-08,,,1.01,0.005,0.5139470100402832,1.4861822128295898
24,576,jitter_05,0.05,Antuono_pressure,mixed_sign_pressure,,0.0006164107471704483,0.004471893422305584,0.003536241827532649,0.000492038088850677,,,1.0,0.005,-0.48605799674987793,0.48618316650390625
32,1024,jitter_05,0.05,physical_nu_laplacian,uniform_density,0.0,2.768488494009347e-10,4.0745362639427185e-09,3.946874471694173e-08,2.9717364125048107e-09,8.165580220520496e-05,-3.0528404712677,,,,
32,1024,jitter_05,0.05,physical_nu_laplacian,density_perturbation_05,0.05,5.6445928748871665e-06,3.624462988227606e-05,0.07642419636249542,0.005748280324041843,3.996025770902634e-05,-3.0540289878845215,,,,
32,1024,jitter_05,0.05,Antuono_pressure,all_positive_pressure,,2.6319266765995053e-09,2.514570951461792e-08,3.9014747699184227e-07,5.263799351951093e-08,,,1.01,0.005,0.507807731628418,1.4920592308044434
32,1024,jitter_05,0.05,Antuono_pressure,mixed_sign_pressure,,0.0003597479371819645,0.002683662809431553,0.0025192764587700367,0.00033518983400426805,,,1.0,0.005,-0.49219727516174316,0.49206018447875977
16,256,jitter_10,0.1,physical_nu_laplacian,uniform_density,0.0,3.113288793432645e-10,5.122274160385132e-09,2.981687075021e-08,4.716947721306042e-09,-0.0010801691096276045,-2.7638676166534424,,,,
16,256,jitter_10,0.1,physical_nu_laplacian,density_perturbation_05,0.05,2.079460500681307e-05,0.00014251726679503918,0.06938304007053375,0.010964682325720787,-0.0010024644434452057,-2.7656171321868896,,,,
16,256,jitter_10,0.1,Antuono_pressure,all_positive_pressure,,3.017664784721319e-09,3.166496753692627e-08,2.763314341791556e-07,4.430103572872213e-08,,,1.01,0.005,0.5250096321105957,1.4752745628356934
16,256,jitter_10,0.1,Antuono_pressure,mixed_sign_pressure,,0.0012579654576256871,0.008409409783780575,0.024341093376278877,0.0038752572145313025,,,1.0,0.005,-0.47498345375061035,0.47527551651000977
24,576,jitter_10,0.1,physical_nu_laplacian,uniform_density,0.0,2.8143989916351586e-10,4.889443516731262e-09,5.6258841141243465e-08,5.723333806884057e-09,-0.0022891880944371223,-2.967538356781006,,,,
24,576,jitter_10,0.1,physical_nu_laplacian,density_perturbation_05,0.05,9.740450877870899e-06,6.654160097241402e-05,0.07410064339637756,0.0075300633907318115,-0.0021777646616101265,-2.9690685272216797,,,,
24,576,jitter_10,0.1,Antuono_pressure,all_positive_pressure,,2.6472648517739117e-09,2.60770320892334e-08,2.2870369775773725e-07,3.102962509160534e-08,,,1.01,0.005,0.5109786987304688,1.4890074729919434
24,576,jitter_10,0.1,Antuono_pressure,mixed_sign_pressure,,0.0006108626257628202,0.004675829317420721,0.01214754581451416,0.0016829639207571745,,,1.0,0.005,-0.4890263080596924,0.48900842666625977
32,1024,jitter_10,0.1,physical_nu_laplacian,uniform_density,0.0,2.80232170801753e-10,4.0745362639427185e-09,6.336085078828546e-08,4.763968330934176e-09,-0.0007704102899879217,-3.0550827980041504,,,,
32,1024,jitter_10,0.1,physical_nu_laplacian,density_perturbation_05,0.05,5.6181911531894e-06,3.789330366998911e-05,0.07656694203615189,0.005750926211476326,-0.0007927720434963703,-3.056299924850464,,,,
32,1024,jitter_10,0.1,Antuono_pressure,all_positive_pressure,,2.6790454299430166e-09,2.9336661100387573e-08,1.0684506150937523e-06,1.36376314685549e-07,,,1.01,0.005,0.5061864852905273,1.49383544921875
32,1024,jitter_10,0.1,Antuono_pressure,mixed_sign_pressure,,0.0003575216978788376,0.0027763789985328913,0.007675805129110813,0.0010188698070123792,,,1.0,0.005,-0.4938066005706787,0.4938364028930664
