panel,arm,group,lineage,model_seed,origin,variant,active_factors,component,cosine_alignment,full_gradient_L2,historical_reverse,mean_dot,primary_reason,projection_ratio,reconstructed_derivative,reconstruction_abs_error,reconstruction_pass,reconstruction_relative_error,residual_RMS,scaled_projection,sqrt_parameter_dimension,state_JVP_RMS,L2,Linf,RMS,deterministic_repeat,element_count,finite_count,histogram_decade,nonzero_element_count,sign_balance,A_mid,A_start,RHO_accept,RHO_over_dt2_A_mid,V_accept,V_over_dt_A_mid,X_accept,X_over_dt2_A_mid,D0_dimensionless_state_residual_RMS,D0_loss,random_minus_D0_state_RMS,random_model_loss,resolution,reason,count
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400401,19,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.9999323829960877,1.8128983118428452e-17,-5.58410096967331e-19,-2.7920504848364174e-19,TASK_RESIDUAL_TOO_SMALL,0.03080206392821319,-5.584100969672835e-19,4.7474173129145364e-32,True,8.501668108612796e-14,5.472666232469138e-09,2.032469467741911,65.98484674529449,5.10215527328343e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400401,19,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.9999309034095674,4.663782317621191e-12,-1.4487820567825841e-13,-7.243910283915451e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.031064529991218587,-1.4487820567830903e-13,5.061331567898012e-26,True,3.4935079049338253e-13,2.751910363985733e-06,2.049788250685163,65.98484674529449,2.632502476393268e-08,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400401,19,VARIANT_LOW,[],L_rho,0.9998305467817862,1.9237780679717812e-14,5.924747329756495e-16,2.962373664880126e-16,UNRESOLVED,0.030797457505079538,5.924747329760252e-16,3.7569500611150687e-28,True,6.3411144003454e-13,1.0545759506036861e-06,2.032165513617393,65.98484674529449,2.809542292342518e-10,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400402,19,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.7678065919851315,7.0295148371001e-18,-8.685023652919572e-20,-4.3425118264641984e-20,TASK_RESIDUAL_TOO_SMALL,0.012355082611223882,-8.685023652928397e-20,8.824370263939266e-32,True,1.0160444711009953e-12,5.5424950852962756e-09,0.4636037935488393,37.52332607858744,1.0204315006341174e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400402,19,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.7623010899252707,1.816554774180903e-12,-2.2077157786247898e-14,-1.1038578893129712e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.012153312468214805,-2.2077157786259425e-14,1.1526835547089425e-26,True,5.221159199334797e-13,2.7885202315201967e-06,0.45603270667978646,37.52332607858744,5.192934268947231e-09,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400402,19,VARIANT_LOW,[],L_rho,0.6598897807265266,7.358556425821032e-15,9.062644595956525e-17,4.5313222979802085e-17,UNRESOLVED,0.012315791401905786,9.062644595960417e-17,3.89253552919993e-29,True,4.295143087631384e-13,1.0541908353797216e-06,0.46212945668957434,37.52332607858744,6.513798413693209e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400402,19,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.9662722794796759,1.5433971353576496e-17,-3.15464092263444e-19,-1.5773204613170998e-19,TASK_RESIDUAL_TOO_SMALL,0.02043959296259429,-3.1546409226341996e-19,2.4025976056230767e-32,True,7.616073158705708e-14,5.5424950852962756e-09,1.348703409172984,65.98484674529449,2.945202088648433e-11,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400402,19,VARIANT_LOW,"[""GROUP_DIRECTION_PROJECTION_DILUTION""]",L_v,0.9662700031092781,3.972542622148957e-12,-8.150938334113539e-14,-4.0754691670561946e-14,GROUP_DIRECTION_PROJECTION_DILUTION,0.02051818975753184,-8.150938334112389e-14,1.1498436554501468e-26,True,1.4106886941320465e-13,2.7885202315201967e-06,1.3538896066416095,65.98484674529449,1.512534587488791e-08,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_PAIR_HEAD,LCDF_01,20400402,19,VARIANT_LOW,[],L_rho,0.9395465782008967,1.6166096661047255e-14,3.307992205571634e-16,1.653996102787025e-16,UNRESOLVED,0.020462528926616843,3.30799220557405e-16,2.4158865222393487e-28,True,7.303180818166739e-13,1.0541908353797216e-06,1.3502168352439679,65.98484674529449,1.6699248611737846e-10,,,,,,,,,,,,,,,,,,,,,,,,
a-d,D1,D1_TOKEN_ENCODER,LCDF_01,20400403,19,VARIANT_LOW,"[""TASK_RESIDUAL_TOO_SMALL""]",L_x,0.9877354859574703,5.685803037182165e-18,-2.1298399026362877e-19,-1.0649199513181462e-19,TASK_RESIDUAL_TOO_SMALL,0.03745891105809072,-2.1298399026362923e-19,4.574083617919685e-34,True,2.147618519240782e-15,5.441003296598016e-09,1.4055829341815427,37.52332607858744,1.9815147881071887e-11,,,,,,,,,,,,,,,,,,,,,,,,
