panel,row_id,arm,epsilon,relative_error,historical_stable_window_verdict,probe_group,fail,pass,total,horizon
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|initial_velocity,D1,3e-05,4.008560718956743e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|initial_velocity,D1,1e-05,4.008574926682248e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|initial_velocity,D1,3e-06,4.0073506700754926e-07,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|initial_density,D1,0.0001,2.4940127425915246e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|initial_density,D1,3e-05,2.4940006109645855e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|initial_density,D1,1e-05,2.4939952590264607e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K1|initial_density,D1,3e-06,2.494058493408813e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|token_encoder_parameter,D1,0.0001,0.0022280432402242995,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|token_encoder_parameter,D1,3e-05,0.002649964878248175,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|token_encoder_parameter,D1,1e-05,0.011307488726998487,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|token_encoder_parameter,D1,3e-06,0.014268096565012716,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|coefficient_head_parameter,D1,0.0001,7.053688357740608e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|coefficient_head_parameter,D1,3e-05,0.0008844281865223664,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|coefficient_head_parameter,D1,1e-05,0.0009091758416154011,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|coefficient_head_parameter,D1,3e-06,0.004448155722639195,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|initial_velocity,D1,0.0001,2.2239990959752204e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|initial_velocity,D1,3e-05,2.2238134840867196e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|initial_velocity,D1,1e-05,2.2238225457852857e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|initial_velocity,D1,3e-06,2.2236917437893557e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|initial_density,D1,0.0001,2.7925981763859985e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|initial_density,D1,3e-05,2.6878353165425533e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|initial_density,D1,1e-05,2.805124632360471e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K2|initial_density,D1,3e-06,2.80527497489588e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|token_encoder_parameter,D1,0.0001,0.00021063731407281385,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|token_encoder_parameter,D1,3e-05,0.00037607229435035087,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|token_encoder_parameter,D1,1e-05,0.007242902538134122,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|token_encoder_parameter,D1,3e-06,0.001806133472069278,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|coefficient_head_parameter,D1,0.0001,0.00019100246949905336,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|coefficient_head_parameter,D1,3e-05,0.00041178011539272716,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|coefficient_head_parameter,D1,1e-05,0.0009315665747618506,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|coefficient_head_parameter,D1,3e-06,0.0018249871382521052,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|initial_velocity,D1,0.0001,4.644680675370138e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|initial_velocity,D1,3e-05,4.644322380871328e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|initial_velocity,D1,1e-05,4.6443971321780354e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|initial_velocity,D1,3e-06,4.644227059359435e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|initial_density,D1,0.0001,3.318408754366061e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|initial_density,D1,3e-05,3.7093524565560354e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|initial_density,D1,1e-05,3.8563691573939435e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K4|initial_density,D1,3e-06,3.8559969061160304e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|token_encoder_parameter,D1,0.0001,0.00017872627283593755,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|token_encoder_parameter,D1,3e-05,0.00045471373964695825,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|token_encoder_parameter,D1,1e-05,0.0011624414854432504,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|token_encoder_parameter,D1,3e-06,0.003013381123368755,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|coefficient_head_parameter,D1,0.0001,1.637371545383116e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|coefficient_head_parameter,D1,3e-05,5.0497794185937806e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|coefficient_head_parameter,D1,1e-05,2.6539632522904677e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|coefficient_head_parameter,D1,3e-06,5.1893940505228045e-05,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|initial_velocity,D1,0.0001,7.384030196055779e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|initial_velocity,D1,3e-05,7.3832469037865034e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|initial_velocity,D1,1e-05,7.383210437212598e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|initial_velocity,D1,3e-06,7.3831701931350015e-06,True,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|initial_density,D1,0.0001,3.970993651146796e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|initial_density,D1,3e-05,2.8077876682971975e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|initial_density,D1,1e-05,2.5129703675190348e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300402|K8|initial_density,D1,3e-06,2.513456067114493e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|token_encoder_parameter,D1,0.0001,7.582493821314466e-05,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|token_encoder_parameter,D1,3e-05,0.0005972526479546186,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|token_encoder_parameter,D1,1e-05,0.002078723076501388,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|token_encoder_parameter,D1,3e-06,0.005163085856507463,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|coefficient_head_parameter,D1,0.0001,0.0024565479753620874,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|coefficient_head_parameter,D1,3e-05,0.013451801980939064,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|coefficient_head_parameter,D1,1e-05,0.031723834167035114,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|coefficient_head_parameter,D1,3e-06,0.04530220198653395,False,,,,,
(a),D1|FT_DR1_COMPRESSION_N8|20300403|K1|initial_velocity,D1,0.0001,1.0272232739640308e-06,True,,,,,
