panel,probe,arm,lineage,epsilon,FD,AD,FD_AD_rel,stable,pair,pass,failed_probe_key,historical_pass_candidate_count,historical_pass_candidate_keys,matching_stratum,observed_distinct_control_count,required_distinct_control_count,selected_control_keys,classification,count,group,pass_or_consistent_count,passing_seed_count,probe_count,raw_23_of_24_pass,seed_aggregation_pass,seed_count
f,,D3,LCDF_04,,,,,,,True,,,,,,,,,,D3_FEED_FORWARD,24,3,24,True,True,3
f,,D3,LCDF_05,,,,,,,True,,,,,,,,,,D3_FEED_FORWARD,24,3,24,True,True,3
f,,D3,LCDF_06,,,,,,,True,,,,,,,,,,D3_FEED_FORWARD,24,3,24,True,True,3
f,,D3,LCDF_07,,,,,,,True,,,,,,,,,,D3_FEED_FORWARD,24,3,24,True,True,3
f,,D3,LCDF_08,,,,,,,True,,,,,,,,,,D3_FEED_FORWARD,24,3,24,True,True,3
f,,D3,LCDF_01,,,,,,,True,,,,,,,,,,D3_PAIR_HEAD,23,3,24,True,True,3
f,,D3,LCDF_04,,,,,,,True,,,,,,,,,,D3_PAIR_HEAD,24,3,24,True,True,3
f,,D3,LCDF_05,,,,,,,True,,,,,,,,,,D3_PAIR_HEAD,24,3,24,True,True,3
f,,D3,LCDF_06,,,,,,,True,,,,,,,,,,D3_PAIR_HEAD,23,3,24,True,True,3
f,,D3,LCDF_07,,,,,,,True,,,,,,,,,,D3_PAIR_HEAD,24,3,24,True,True,3
f,,D3,LCDF_08,,,,,,,True,,,,,,,,,,D3_PAIR_HEAD,24,3,24,True,True,3
